elapsed_s,duration_ms,time_to_goal,path_cost,obstacle_checks,rewire_neighbor_searches,orphaned_nodes,collision_count
0.00105383,3640.4,25,0,0,1362,43,2
3.69364,0.00034,24.98,141.313,0,1362,43,2
3.80279,0.000331,24.86,141.313,0,1362,43,2
3.8569,0.000174,24.8,141.313,0,1362,43,2
3.91098,0.000439,24.76,141.313,0,1362,43,2
3.96653,0.000346,24.7,141.313,0,1362,43,2
4.0211,0.000381,24.64,141.313,0,1362,43,2
4.07613,0.000439,24.6,141.313,0,1362,43,2
4.13126,0.000425,24.54,141.313,0,1362,43,2
4.18624,0.000286,24.48,141.313,0,1362,43,2
4.24018,0.000328,24.43,141.313,0,1362,43,2
4.29642,0.000218,24.36,141.313,0,1362,43,2
4.34998,0.000566,24.32,141.313,0,1362,43,2
4.41032,0.000427,24.26,141.313,0,1362,43,2
4.46773,0.00035,24.2,141.313,0,1362,43,2
4.52242,0.000341,24.14,141.313,0,1362,43,2
4.57658,0.000241,24.08,141.313,0,1362,43,2
4.63053,0.000528,24.04,141.313,0,1362,43,2
4.68488,0.000199,23.99,141.313,0,1362,43,2
4.73852,0.000238,23.93,141.313,0,1362,43,2
4.7927,0.000297,23.89,141.313,0,1362,43,2
4.84684,0.000525,23.83,141.313,0,1362,43,2
4.90089,0.000269,23.77,141.313,0,1362,43,2
4.95451,0.000343,23.73,141.313,0,1362,43,2
5.00917,0.000459,23.67,141.313,0,1362,43,2
5.06385,0.000484,23.61,141.313,0,1362,43,2
5.11861,0.000328,23.55,141.313,0,1362,43,2
5.17319,0.000439,23.51,141.313,0,1362,43,2
5.22833,0.000855,23.45,141.313,0,1362,43,2
5.28174,0.000254,23.39,141.313,0,1362,43,2
5.33533,0.000289,23.35,141.313,0,1362,43,2
5.39023,0.000282,23.29,141.313,0,1362,43,2
5.44423,0.000275,23.23,141.313,0,1362,43,2
5.49824,0.000403,23.17,141.313,0,1362,43,2
5.55305,0.000209,23.13,141.313,0,1362,43,2
5.60631,0.000316,23.07,141.313,0,1362,43,2
5.65969,0.000296,23.01,141.313,0,1362,43,2
5.71384,0.000358,22.97,141.313,0,1362,43,2
5.76779,0.00044,22.91,141.313,0,1362,43,2
5.82147,0.000219,22.85,141.313,0,1362,43,2
5.87531,0.000307,22.81,141.313,0,1362,43,2
5.92978,0.000317,22.75,141.313,0,1362,43,2
5.98439,0.00025,22.69,141.313,0,1362,43,2
6.03801,0.000299,22.63,141.313,0,1362,43,2
6.0928,0.000164,22.59,141.313,0,1362,43,2
6.14702,0.000359,22.53,141.313,0,1362,43,2
6.20156,0.000342,22.47,141.313,0,1362,43,2
6.256,0.000185,22.43,141.313,0,1362,43,2
6.30961,0.000349,22.37,141.313,0,1362,43,2
6.36299,0.000272,22.31,141.313,0,1362,43,2
6.41698,0.000194,22.25,141.313,0,1362,43,2
6.47019,0.000432,22.21,141.313,0,1362,43,2
6.52405,0.000231,22.15,141.313,0,1362,43,2
6.57738,0.000407,22.09,141.313,0,1362,43,2
6.63095,0.000598,22.05,141.313,0,1362,43,2
6.68634,0.000245,21.99,141.313,0,1362,43,2
6.73997,0.000553,21.93,141.313,0,1362,43,2
6.79416,0.000185,21.89,141.313,0,1362,43,2
6.84792,0.000195,21.83,141.313,0,1362,43,2
6.90105,0.000314,21.77,141.313,0,1362,43,2
6.95485,0.000251,21.73,141.313,0,1362,43,2
7.00872,0.000235,21.67,141.313,0,1362,43,2
7.06223,0.000419,21.61,141.313,0,1362,43,2
7.11621,0.00034,21.57,141.313,0,1362,43,2
7.17034,0.000282,21.51,141.313,0,1362,43,2
7.22345,0.000343,21.45,141.313,0,1362,43,2
7.27693,0.000237,21.4,141.313,0,1362,43,2
7.33025,0.000243,21.36,141.313,0,1362,43,2
7.3838,0.000383,21.3,141.313,0,1362,43,2
7.43807,0.000389,21.24,141.313,0,1362,43,2
7.49146,0.000245,21.2,141.313,0,1362,43,2
7.54477,0.000405,21.14,141.313,0,1362,43,2
7.59873,0.000226,21.08,141.313,0,1362,43,2
7.6518,1054.43,21.04,0,136,272,26,2
8.76022,2185,19.92,0,376,1835,59,2
10.9997,160.399,17.69,0,52,61,0,2
11.2139,0.000277,17.49,0,52,61,0,2
11.2664,0.000238,17.43,0,52,61,0,2
11.3186,0.000264,17.37,0,52,61,0,2
11.3713,0.000329,17.33,0,52,61,0,2
11.4242,0.000321,17.27,0,52,61,0,2
11.4769,0.00026,17.21,0,52,61,0,2
11.5298,886.495,17.18,0,403,864,18,2
12.4689,1360.62,16.24,0,497,6925,39,2
13.942,224.356,14.78,0,46,102,1,2
14.2432,0.000227,14.48,0,46,102,1,2
14.295,0.000302,14.44,0,46,102,1,2
14.3469,0.000275,14.38,0,46,102,1,2
14.3991,0.000301,14.32,0,46,102,1,2
14.4509,0.000328,14.28,0,46,102,1,2
14.5028,0.000228,14.22,0,46,102,1,2
14.5543,0.000291,14.18,0,46,102,1,2
14.6057,0.000188,14.12,0,46,102,1,2
14.6575,0.000208,14.06,0,46,102,1,2
14.7089,56.4401,14.02,0,0,0,0,2
14.8175,0.000606,13.9,30.8613,0,0,0,2
14.9849,0.000468,13.74,30.8613,0,0,0,2
15.0379,0.000345,13.68,30.8613,0,0,0,2
15.0905,0.000298,13.64,30.8613,0,0,0,2
15.1425,0.000244,13.58,30.8613,0,0,0,2
15.1944,0.000269,13.54,30.8613,0,0,0,2
15.2465,0.000182,13.48,30.8613,0,0,0,2
15.2981,0.000399,13.42,30.8613,0,0,0,2
15.3507,0.000239,13.38,30.8613,0,0,0,2
15.4026,0.000283,13.32,30.8613,0,0,0,2
15.4544,0.00032,13.28,30.8613,0,0,0,2
15.5063,465.625,13.22,0,292,532,1,2
16.0245,928.313,12.7,0,396,1213,100,2
17.0049,0.00024,11.73,0,396,1213,100,2
17.0561,0.000194,11.69,0,396,1213,100,2
17.1075,0.000354,11.63,0,396,1213,100,2
17.1592,0.000351,11.57,0,396,1213,100,2
17.2107,0.000303,11.53,0,396,1213,100,2
17.2626,0.000189,11.47,21.1451,396,1213,100,2
17.3322,0.000327,11.41,21.1451,396,1213,100,2
17.3846,0.000471,11.35,21.1451,396,1213,100,2
17.4368,103.73,11.29,0,15,0,0,2
17.5929,0.000244,11.15,0,15,0,0,2
17.6447,0.000256,11.09,0,15,0,0,2
17.6969,0.000191,11.03,0,15,0,0,2
17.7485,0.000217,10.99,0,15,0,0,2
17.8004,0.000224,10.93,0,15,0,0,2
17.8521,0.00029,10.89,0,15,0,0,2
17.9042,0.001544,10.83,0,15,0,0,2
17.9707,0.000461,10.77,0,15,0,0,2
18.0244,0.000427,10.71,0,15,0,0,2
18.0771,0.000237,10.65,0,15,0,0,2
18.1289,0.000291,10.61,0,15,0,0,2
18.1807,0.000288,10.55,0,15,0,0,2
18.2331,0.000289,10.51,0,15,0,0,2
18.2851,0.000273,10.45,0,15,0,0,2
18.337,0.000193,10.39,0,15,0,0,2
18.3886,0.000311,10.35,0,15,0,0,2
18.4407,0.000216,10.29,0,15,0,0,2
18.4925,0.00029,10.25,0,15,0,0,2
18.5443,0.000437,10.19,0,15,0,0,2
18.5968,0.000268,10.13,0,15,0,0,2
18.6486,0.00023,10.1,0,15,0,0,2
18.7004,0.000236,10.04,0,15,0,0,2
18.7522,0.00026,10,0,15,0,0,2
18.8039,0.000311,9.94,0,15,0,0,2
18.8562,0.000361,9.9,0,15,0,0,2
18.908,0.0004,9.84,0,15,0,0,2
18.9603,0.000429,9.78,0,15,0,0,2
19.013,0.00037,9.74,0,15,0,0,2
19.0651,0.000339,9.68,0,15,0,0,2
19.1172,0.000285,9.62,0,15,0,0,2
19.1691,0.000228,9.58,0,15,0,0,2
19.2207,0.000413,9.52,0,15,0,0,2
19.2729,0.00027,9.48,0,15,0,0,2
19.3246,0.000534,9.42,0,15,0,0,2
19.3769,0.000317,9.36,0,15,0,0,2
19.429,276.896,9.32,0,25,0,1,2
19.7587,0.000205,8.98,0,25,0,1,2
19.8103,0.000267,8.94,0,25,0,1,2
19.8616,0.000297,8.88,0,25,0,1,2
19.9136,0.000539,8.84,0,25,0,1,2
19.9659,578.968,8.78,0,133,500,5,2
20.5974,14.3962,8.14,0,0,0,0,2
20.6753,0.000373,8.09,0,0,0,0,2
20.7315,0.000353,8.03,0,0,0,0,2
20.785,0.000319,7.97,0,0,0,0,2
20.8392,0.000379,7.91,0,0,0,0,2
20.8925,0.00024,7.87,0,0,0,0,2
20.9453,0.000484,7.81,0,0,0,0,2
20.9991,0.000288,7.75,0,0,0,0,2
21.0521,0.000469,7.71,0,0,0,0,2
21.1059,0.000427,7.65,0,0,0,0,2
21.1602,0.000443,7.59,0,0,0,0,2
21.214,0.000269,7.55,0,0,0,0,2
21.2667,0.000331,7.49,0,0,0,0,2
21.3197,0.000467,7.43,0,0,0,0,2
21.3739,0.000407,7.39,0,0,0,0,2
21.4273,0.000294,7.33,0,0,0,0,2
21.4802,0.000241,7.27,0,0,0,0,2
21.533,0.000358,7.23,0,0,0,0,2
21.5859,0.000265,7.17,0,0,0,0,2
21.6387,0.000381,7.11,0,0,0,0,2
21.6917,0.000481,7.07,0,0,0,0,2
21.747,0.000344,7.01,0,0,0,0,2
21.8044,0.000649,6.95,0,0,0,0,2
21.863,0.000756,6.9,0,0,0,0,2
21.9255,0.000414,6.84,0,0,0,0,2
21.9783,0.000331,6.78,0,0,0,0,2
22.0324,63.784,6.74,0,0,0,0,2
22.1496,0.000338,6.62,0,0,0,0,2
22.2026,0.000242,6.56,0,0,0,0,2
22.2556,0.000295,6.52,0,0,0,0,2
22.3089,0.000247,6.46,0,0,0,0,2
22.3615,0.000234,6.4,0,0,0,0,2
22.4138,0.000306,6.36,0,0,0,0,2
22.4664,0.000471,6.3,0,0,0,0,2
22.5203,0.000226,6.24,0,0,0,0,2
22.5724,0.000287,6.2,0,0,0,0,2
22.6248,0.000607,6.14,0,0,0,0,2
22.6795,0.000655,6.08,0,0,0,0,2
22.7333,0.000263,6.04,0,0,0,0,2
22.7856,0.000339,5.98,0,0,0,0,2
22.8383,0.000487,5.92,0,0,0,0,2
22.8918,0.00026,5.88,0,0,0,0,2
22.944,0.000299,5.82,0,0,0,0,2
22.9966,0.000311,5.76,0,0,0,0,2
23.0496,0.000565,5.72,0,0,0,0,2
23.1018,0.000229,5.66,0,0,0,0,2
23.1539,0.000321,5.62,0,0,0,0,2
23.2081,0.001153,5.56,0,0,0,0,2
23.2863,0.000605,5.49,0,0,0,0,2
23.3408,0.000509,5.43,0,0,0,0,2
23.3945,83.3193,5.39,0,32,0,0,2
23.5303,0.000527,5.25,0,32,0,0,2
23.5838,0.000276,5.19,0,32,0,0,2
23.636,0.000259,5.15,0,32,0,0,2
23.6883,0.000332,5.09,0,32,0,0,2
23.7405,0.00029,5.03,0,32,0,0,2
23.7927,0.000353,4.99,0,32,0,0,2
23.8452,0.000242,4.93,0,32,0,0,2
23.8976,0.000346,4.87,0,32,0,0,2
23.9502,0.000292,4.83,0,32,0,0,2
24.0031,0.000295,4.77,0,32,0,0,2
24.0551,122.845,4.73,0,97,0,0,2
24.2306,0.000301,4.55,0,97,0,0,2
24.2824,0.00023,4.49,0,97,0,0,2
24.3346,0.000264,4.45,0,97,0,0,2
24.3871,0.000254,4.39,0,97,0,0,2
24.439,0.000257,4.33,0,97,0,0,2
24.4913,0.000318,4.29,0,97,0,0,2
24.5431,0.000251,4.23,0,97,0,0,2
24.597,0.000378,4.17,0,97,0,0,2
24.65,0.000572,4.13,0,97,0,0,2
24.7104,0.00048,4.08,0,97,0,0,2
24.7648,0.000332,4.02,0,97,0,0,2
24.8167,0.000337,3.96,0,97,0,0,2
24.8693,0.000263,3.92,0,97,0,0,2
24.9214,0.000274,3.86,0,97,0,0,2
24.9731,0.000269,3.82,0,97,0,0,2
25.0253,0.000269,3.76,0,97,0,0,2
25.0771,0.000223,3.7,0,97,0,0,2
25.1289,0.000344,3.66,0,97,0,0,2
25.1813,0.000266,3.6,0,97,0,0,2
25.2333,0.000269,3.56,0,97,0,0,2
25.2853,0.000279,3.5,0,97,0,0,2
25.3376,0.000364,3.44,0,97,0,0,2
25.3901,0.000229,3.4,0,97,0,0,2
25.4419,0.000228,3.34,0,97,0,0,2
25.4941,0.000273,3.3,0,97,0,0,2
25.5458,0.000354,3.24,0,97,0,0,2
25.5982,0.000198,3.18,0,97,0,0,2
25.6497,2.37673,3.14,0,0,0,0,2
25.7046,0.00051,3.08,0,0,0,0,2
25.7565,0.000201,3.02,0,0,0,0,2
25.8081,0.000251,2.98,0,0,0,0,2
25.8603,0.000205,2.92,0,0,0,0,2
25.9119,0.000319,2.88,0,0,0,0,2
25.9638,0.000183,2.82,0,0,0,0,2
26.0152,0.000414,2.78,0,0,0,0,2
