elapsed_s,total_latency_ms,update_ms,plan_ms,time_to_goal,path_cost,obstacle_checks,queue_operations,collision_count,tree_size,avg_deg_out,avg_deg_in,radius
0.0966745,96.1807,39.5537,56.6271,30,146.969,9494,663,0,783,16.0971,16.0971,20
0.0989315,0.202652,0,0.202652,29.98,160.879,50,0,0,783,16.0971,16.0971,20
0.12235,3.26041,0,3.26041,29.98,160.879,192,8,0,785,16.1096,16.1096,20
0.124984,1.15497,0,1.15497,29.96,160.6,100,2,0,786,16.1158,16.1158,20
0.145526,1.25225,0,1.25225,29.96,160.6,70,4,0,788,16.0952,16.0952,20
0.14696,0.04999,0,0.04999,29.94,160.323,50,0,0,788,16.0952,16.0952,20
0.167312,0.101558,0,0.101558,29.94,160.323,50,0,0,788,16.0952,16.0952,20
0.169591,0.734935,0,0.734935,29.92,160.045,50,0,0,788,16.0952,16.0952,20
0.1916,2.4817,0,2.4817,29.92,160.045,123,4,0,790,16.1215,16.1215,20
0.193416,0.748471,0,0.748471,29.9,159.767,60,2,0,791,16.1201,16.1201,20
0.214147,1.42472,0,1.42472,29.9,159.767,114,5,0,792,16.1124,16.1124,20
0.21602,0.167557,0,0.167557,29.88,159.49,50,0,0,792,16.1124,16.1124,20
0.23815,2.00229,0,2.00229,29.88,159.49,114,11,0,794,16.1108,16.1108,20
0.241471,2.04362,0,2.04362,29.86,159.213,60,2,0,795,16.1723,16.1723,20
0.260896,0.811257,0,0.811257,29.86,159.213,50,0,0,795,16.1723,16.1723,20
0.267333,4.55965,0,4.55965,29.84,158.937,253,8,0,797,16.2045,16.2045,20
0.285807,2.95077,0,2.95077,29.84,158.937,116,6,0,799,16.2378,16.2378,20
0.288564,1.25474,0,1.25474,29.82,158.661,115,8,0,800,16.245,16.245,20
0.309369,1.02497,0,1.02497,29.82,158.661,50,0,0,800,16.245,16.245,20
0.312623,0.872261,0,0.872261,29.8,158.385,50,0,0,800,16.245,16.245,20
0.335603,3.04998,0,3.04998,29.8,158.385,95,2,0,801,16.2797,16.2797,20
