elapsed_s,total_latency_ms,update_ms,plan_ms,time_to_goal,path_cost,obstacle_checks,queue_operations,collision_count,tree_size,avg_deg_out,avg_deg_in,radius
0.346406,345.961,40.5063,305.455,20,138.283,181138,6037,0,2801,77.2967,79.5716,14.2384
0.358961,0.444177,0,0.444177,19.98,139.455,267,2,0,2802,77.3094,79.5835,14.2369
0.379347,0.891752,0,0.891752,19.98,139.455,285,2,0,2803,77.3632,79.6361,14.2354
0.382284,0.073061,0,0.073061,19.96,139.346,230,0,0,2803,77.3632,79.6361,14.2354
0.40278,0.136397,0,0.136397,19.96,139.346,230,0,0,2803,77.3632,79.6361,14.2354
0.405843,0.163064,0,0.163064,19.94,139.237,252,2,0,2804,77.3545,79.6266,14.234
0.426498,0.328189,0,0.328189,19.94,139.237,261,2,0,2805,77.3458,79.6168,14.2325
0.430942,0.102626,0,0.102626,19.92,139.128,230,0,0,2805,77.3458,79.6168,14.2325
0.45105,0.08141,0,0.08141,19.92,139.128,230,0,0,2805,77.3458,79.6168,14.2325
0.454859,0.462871,0,0.462871,19.9,139.019,308,2,0,2806,77.3535,79.6237,14.231
0.475075,0.571015,0,0.571015,19.9,139.019,308,2,0,2807,77.3716,79.6409,14.2295
0.477958,0.065843,0,0.065843,19.88,138.911,230,0,0,2807,77.3716,79.6409,14.2295
0.498384,0.059616,0,0.059616,19.88,138.911,230,0,0,2807,77.3716,79.6409,14.2295
0.50249,1.29171,0,1.29171,19.86,138.802,404,2,0,2808,77.4252,79.6937,14.228
0.52291,1.53832,0,1.53832,19.86,138.802,1333,0,0,2809,77.455,79.7227,14.2266
0.526324,0.683579,0,0.683579,19.84,138.693,320,2,0,2810,77.4826,79.7505,14.2251
0.546037,0.139444,0,0.139444,19.84,138.693,230,0,0,2810,77.4826,79.7505,14.2251
0.549548,0.057676,0,0.057676,19.82,138.584,230,0,0,2810,77.4826,79.7505,14.2251
0.569976,0.151109,0,0.151109,19.82,138.584,230,0,0,2810,77.4826,79.7505,14.2251
0.573841,0.914448,0,0.914448,19.8,138.475,339,2,0,2811,77.5169,79.7869,14.2236
0.594637,1.23739,0,1.23739,19.8,138.475,413,2,0,2812,77.5562,79.8265,14.2221
0.597099,0.031412,0,0.031412,19.78,138.366,230,0,0,2812,77.5562,79.8265,14.2221
0.617382,0.040357,0,0.040357,19.78,138.366,230,0,0,2812,77.5562,79.8265,14.2221
0.621569,1.01974,0,1.01974,19.76,138.257,435,2,0,2813,77.5851,79.8535,14.2207
0.6412,0.143692,0,0.143692,19.76,138.257,240,2,0,2814,77.5693,79.8369,14.2192
0.643957,0.02284,0,0.02284,19.74,138.149,230,0,0,2814,77.5693,79.8369,14.2192
0.664565,0.117229,0,0.117229,19.74,138.149,230,0,0,2814,77.5693,79.8369,14.2192
0.667234,0.034801,0,0.034801,19.72,138.04,230,0,0,2814,77.5693,79.8369,14.2192
0.688577,0.434881,0,0.434881,19.72,138.04,250,2,0,2815,77.568,79.8348,14.2177
0.692707,0.745453,0,0.745453,19.7,137.931,339,2,0,2816,77.603,79.869,14.2163
0.71346,0.798159,0,0.798159,19.7,137.931,271,2,0,2817,77.6063,79.8715,14.2148
0.720476,0.631772,0,0.631772,19.68,137.822,240,2,0,2818,77.6285,79.8928,14.2133
0.74042,0.808733,0,0.808733,19.68,137.822,317,2,0,2819,77.6534,79.9184,14.2118
0.743188,0.061769,0,0.061769,19.66,137.713,230,0,0,2819,77.6534,79.9184,14.2118
0.763722,0.096604,0,0.096604,19.66,137.713,230,0,0,2819,77.6534,79.9184,14.2118
0.766914,0.393846,0,0.393846,19.64,137.604,340,22,0,2820,77.6567,79.9202,14.2104
0.787466,0.648995,0,0.648995,19.64,137.604,306,2,0,2821,77.6788,79.9422,14.2089
0.79063,0.382497,0,0.382497,19.62,137.496,256,2,0,2822,77.6974,79.9603,14.2074
0.812634,2.06984,0,2.06984,19.62,137.496,773,8,0,2823,77.7063,79.9706,14.206
0.816419,0.136295,0,0.136295,19.6,137.387,231,1,0,2824,77.6958,79.9593,14.2045
0.836677,0.02581,0,0.02581,19.6,137.387,231,0,0,2824,77.6958,79.9593,14.2045
0.840364,0.696882,0,0.696882,19.58,137.278,282,2,0,2825,77.7331,79.9968,14.203
0.860637,0.551416,0,0.551416,19.58,137.278,299,2,0,2826,77.7392,80.0021,14.2016
0.86603,0.081716,0,0.081716,19.56,137.169,252,0,0,2826,77.7392,80.0021,14.2016
0.886876,0.873362,0,0.873362,19.56,137.169,337,2,0,2827,77.7598,80.0216,14.2001
0.889454,0.02786,0,0.02786,19.54,137.06,252,0,0,2827,77.7598,80.0216,14.2001
0.913707,3.52668,0,3.52668,19.54,137.06,763,22,0,2828,77.773,80.0361,14.1987
0.917152,0.049992,0,0.049992,19.52,136.951,252,0,0,2828,77.773,80.0361,14.1987
0.938211,0.774473,0,0.774473,19.52,136.951,335,4,0,2829,77.7798,80.0421,14.1972
0.943632,0.490851,0,0.490851,19.5,136.842,436,4,0,2830,77.7869,80.0484,14.1957
0.964235,0.998236,0,0.998236,19.5,136.842,382,2,0,2831,77.8167,80.0774,14.1943
0.968021,0.038449,0,0.038449,19.48,136.734,252,0,0,2831,77.8167,80.0774,14.1943
0.988544,0.08,0,0.08,19.48,136.734,252,0,0,2831,77.8167,80.0774,14.1943
0.991659,0.311786,0,0.311786,19.46,136.625,374,2,0,2832,77.8291,80.089,14.1928
1.0125,0.784822,0,0.784822,19.46,136.625,314,2,0,2833,77.8549,80.1151,14.1913
1.01526,0.175442,0,0.175442,19.44,136.516,272,2,0,2834,77.8627,80.1221,14.1899
1.03717,1.10968,0,1.10968,19.44,136.516,380,2,0,2835,77.8723,80.1298,14.1884
1.04324,0.702204,0,0.702204,19.42,136.407,327,2,0,2836,77.9164,80.1731,14.187
1.06412,0.838706,0,0.838706,19.42,136.407,289,2,0,2837,77.9351,80.1907,14.1855
