elapsed_s,total_latency_ms,update_ms,plan_ms,time_to_goal,path_cost,obstacle_checks,queue_operations,collision_count,tree_size,avg_deg_out,avg_deg_in,radius
1.6497e-05,31.4201,2.88489,28.5352,0,0,23161,2443,0,3635,101.556,101.576,9.28169
0.100186,56.5875,10.1489,46.4386,0,0,44969,4061,0,3655,101.023,101.067,9.25936
0.200308,83.6377,17.07,66.5677,0,0,72286,5670,0,3674,100.467,100.461,9.2383
0.300477,123.551,25.1846,98.3662,0,0,99105,7443,0,3692,99.7053,99.6706,9.2185
0.428427,159.212,31.4764,127.735,0,0,125874,8790,0,3711,99.0636,99.0625,9.19774
0.593282,176.102,39.5866,136.515,0,0,144503,9367,0,3728,99.0311,99.0349,9.1793
0.773383,183.03,39.856,143.174,0,0,150115,9263,0,3747,99.2301,99.2367,9.15882
0.959701,184.741,31.0102,153.731,0,0,143334,9010,0,3765,99.442,99.4475,9.13956
1.14758,178.519,35.4915,143.027,0,0,141383,8952,0,3784,99.7008,99.7075,9.11938
1.32938,174.095,36.5143,137.58,0,0,145711,8533,0,3802,99.9045,99.9129,9.10038
1.50681,165.92,34.2261,131.694,0,0,140566,8302,0,3820,100.074,100.085,9.08152
1.67602,166.791,36.9726,129.818,0,0,139411,7387,0,3839,100.335,100.345,9.06174
1.84612,164.578,33.6975,130.88,0,0,143421,7587,0,3856,100.491,100.5,9.04416
2.01393,162.668,30.9271,131.741,0,0,149036,7026,0,3875,100.676,100.682,9.02465
2.17991,150.244,21.305,128.939,0,0,145072,6369,0,3895,100.932,100.935,9.00425
2.3333,146.521,21.6658,124.855,0,0,148332,5843,0,3913,101.195,101.205,8.98602
2.48325,165.387,30.5825,134.805,0,0,153181,6868,0,3932,101.376,101.386,8.96691
2.65207,172.249,27.0949,145.154,0,0,142289,6746,0,3952,101.677,101.69,8.94693
2.82805,155.714,27.4014,128.313,0,0,138357,6874,0,3972,101.967,101.978,8.9271
2.98719,145.456,24.8955,120.561,0,0,124185,6915,0,3991,102.221,102.227,8.90839
3.13603,141.93,26.7031,115.226,0,0,118278,6960,0,4010,102.484,102.49,8.8898
3.28145,144.342,26.8025,117.54,0,0,120851,6980,0,4028,102.65,102.671,8.87231
