elapsed_s,total_latency_ms,update_ms,plan_ms,time_to_goal,path_cost,obstacle_checks,queue_operations,collision_count,tree_size,avg_deg_out,avg_deg_in,radius
0.149476,148.967,41.6224,107.344,25,170.12,18691,768,0,600,12.9883,12.9883,40
0.153197,2.68771,0,2.68771,24.98,183.882,182,2,0,602,12.9801,12.9801,40
0.176624,5.70861,0,5.70861,24.98,183.882,59,4,0,605,13.0066,13.0066,40
0.177811,0.286699,0,0.286699,24.96,183.727,20,0,0,605,13.0066,13.0066,40
0.205315,7.38333,0,7.38333,24.96,183.727,167,2,0,607,13.0873,13.0873,40
0.206808,0.692144,0,0.692144,24.94,183.571,20,0,0,607,13.0873,13.0873,40
0.229384,2.82441,0,2.82441,24.94,183.571,40,2,0,610,13.0328,13.0328,40
0.230862,0.888247,0,0.888247,24.92,183.415,72,4,0,611,13.0475,13.0475,40
0.25277,2.50859,0,2.50859,24.92,183.415,130,2,0,612,13.085,13.085,40
0.258626,5.06254,0,5.06254,24.9,183.26,205,10,0,615,13.1951,13.1951,40
0.283455,9.44971,0,9.44971,24.9,183.26,207,3,0,617,13.3436,13.3436,40
0.288266,4.03587,0,4.03587,24.88,183.104,155,6,0,620,13.379,13.379,40
0.306479,1.87642,0,1.87642,24.88,183.104,60,2,0,621,13.3784,13.3784,40
0.311786,4.33962,0,4.33962,24.86,182.948,221,2,0,622,13.4887,13.4887,40
0.329348,1.50575,0,1.50575,24.86,182.948,26,0,0,623,13.4783,13.4783,40
0.338831,8.53151,0,8.53151,24.84,182.791,220,6,0,625,13.5632,13.5632,40
0.351533,1.03812,0,1.03812,24.84,182.791,30,1,0,626,13.5511,13.5511,40
0.355157,2.71111,0,2.71111,24.82,182.634,114,8,0,628,13.5494,13.5494,40
0.378204,5.40325,0,5.40325,24.82,182.634,133,2,0,630,13.5857,13.5857,40
0.397344,18.4691,0,18.4691,24.8,182.476,837,44,0,633,13.7109,13.7109,40
0.401104,1.86061,0,1.86061,24.8,182.476,42,4,0,634,13.7082,13.7082,40
0.402512,0.505604,0,0.505604,24.78,182.318,20,0,0,634,13.7082,13.7082,40
0.423649,1.34469,0,1.34469,24.78,182.318,50,2,0,635,13.6913,13.6913,40
0.430562,5.6949,0,5.6949,24.76,182.159,233,8,0,638,13.7696,13.7696,40
0.447374,2.39994,0,2.39994,24.76,182.159,55,1,0,639,13.7653,13.7653,40
0.451601,3.46278,0,3.46278,24.74,181.999,169,2,0,641,13.7754,13.7754,40
0.487858,19.2503,0,19.2503,24.74,181.999,818,30,0,645,13.9736,13.9736,40
0.494465,5.60232,0,5.60232,24.72,181.838,89,4,0,647,13.9645,13.9645,40
0.512481,3.23062,0,3.23062,24.72,181.838,49,2,0,648,13.966,13.966,40
0.514198,1.06698,0,1.06698,24.7,181.678,39,1,0,650,13.9354,13.9354,40
0.534436,0.681189,0,0.681189,24.7,181.678,20,0,0,650,13.9354,13.9354,40
0.541802,6.10927,0,6.10927,24.68,181.517,91,9,0,653,13.9051,13.9051,40
0.560833,4.59221,0,4.59221,24.68,181.517,36,2,0,654,13.9006,13.9006,40
0.574183,12.0259,0,12.0259,24.66,181.358,630,2,0,657,13.9863,13.9863,40
0.588145,5.89531,0,5.89531,24.66,181.358,94,4,0,659,14.0501,14.0501,40
0.594896,5.48674,0,5.48674,24.64,181.198,98,4,0,661,14.0681,14.0681,40
0.614005,4.50865,0,4.50865,24.64,181.198,61,2,0,664,14.0557,14.0557,40
0.627977,13.2273,0,13.2273,24.62,181.039,886,22,0,667,14.2519,14.2519,40
0.638251,3.01537,0,3.01537,24.62,181.039,60,5,0,669,14.2526,14.2526,40
0.642298,3.09251,0,3.09251,24.6,180.88,196,6,0,671,14.301,14.301,40
0.665796,6.13155,0,6.13155,24.6,180.88,180,2,0,672,14.4271,14.4271,40
0.671548,5.0502,0,5.0502,24.58,180.722,236,1,0,674,14.4585,14.4585,40
0.692054,5.25606,0,5.25606,24.58,180.722,65,4,0,676,14.4556,14.4556,40
0.700261,7.28033,0,7.28033,24.56,180.564,78,2,0,678,14.4749,14.4749,40
0.719788,6.61118,0,6.61118,24.56,180.564,73,6,0,680,14.5118,14.5118,40
0.723881,2.85865,0,2.85865,24.54,180.406,95,4,0,682,14.5264,14.5264,40
0.749352,8.21871,0,8.21871,24.54,180.406,83,8,0,685,14.5489,14.5489,40
0.759909,9.36732,0,9.36732,24.52,180.249,245,4,0,687,14.671,14.671,40
0.778393,7.34781,0,7.34781,24.52,180.249,147,6,0,690,14.6797,14.6797,40
0.785833,6.34229,0,6.34229,24.5,180.117,64,2,0,692,14.7558,14.7558,40
0.81261,12.6586,0,12.6586,24.5,180.117,591,36,0,696,14.8793,14.8793,40
0.822319,8.96163,0,8.96163,24.48,179.985,197,6,0,698,15.1089,15.1089,40
0.839058,5.22984,0,5.22984,24.48,179.985,214,8,0,700,15.1629,15.1629,40
0.841877,1.7063,0,1.7063,24.46,179.852,43,2,0,701,15.1797,15.1797,40
0.864835,4.20618,0,4.20618,24.46,179.852,114,4,0,704,15.1818,15.1818,40
0.869109,3.48143,0,3.48143,24.44,179.718,159,5,0,706,15.2521,15.2521,40
0.890236,4.06921,0,4.06921,24.44,179.718,195,0,0,707,15.3211,15.3211,40
0.892282,1.30466,0,1.30466,24.42,179.583,39,2,0,708,15.3489,15.3489,40
0.915072,3.90588,0,3.90588,24.42,179.583,112,2,0,710,15.3662,15.3662,40
0.920011,3.62527,0,3.62527,24.4,179.448,118,4,0,712,15.3778,15.3778,40
0.943183,6.24152,0,6.24152,24.4,179.448,85,4,0,715,15.372,15.372,40
0.94993,5.42184,0,5.42184,24.38,179.311,251,0,0,716,15.405,15.405,40
0.965921,0.86677,0,0.86677,24.38,179.311,21,0,0,716,15.405,15.405,40
0.968192,1.05274,0,1.05274,24.36,179.174,21,0,0,716,15.405,15.405,40
0.998845,11.2746,0,11.2746,24.36,179.174,164,4,0,719,15.4089,15.4089,40
1.00463,4.00732,0,4.00732,24.34,179.035,74,0,0,720,15.3972,15.3972,40
1.02178,0.921492,0,0.921492,24.34,179.035,21,0,0,720,15.3972,15.3972,40
1.02707,4.31453,0,4.31453,24.32,178.896,146,4,0,723,15.4454,15.4454,40
1.05586,12.8412,0,12.8412,24.32,178.896,343,14,0,725,15.4552,15.4552,40
