elapsed_s,total_latency_ms,update_ms,plan_ms,time_to_goal,path_cost,obstacle_checks,queue_operations,collision_count,tree_size,avg_deg_out,avg_deg_in,radius
0.68909,688.708,687.389,1.3196,30,146.969,52562,618,0,775,15.8297,15.8297,20
0.694366,3.81437,0,3.81437,29.98,155.191,298,0,0,776,15.8428,15.8428,20
0.711047,0.220474,0,0.220474,29.98,155.191,40,0,0,776,15.8428,15.8428,20
0.719345,7.05696,0,7.05696,29.96,155.025,539,4,0,777,15.8867,15.8867,20
0.735994,3.16604,0,3.16604,29.96,155.025,192,0,0,778,15.8766,15.8766,20
0.742218,4.77328,0,4.77328,29.94,154.86,342,0,0,779,15.9063,15.9063,20
0.758453,0.546904,0,0.546904,29.94,154.86,60,0,0,780,15.8885,15.8885,20
0.760271,0.4549,0,0.4549,29.92,154.694,50,0,0,780,15.8885,15.8885,20
0.787037,6.69353,0,6.69353,29.92,154.694,479,4,0,782,15.9066,15.9066,20
0.794678,6.12577,0,6.12577,29.9,154.529,474,54,0,784,15.9209,15.9209,20
0.818917,9.94614,0,9.94614,29.9,154.529,560,0,0,785,15.9656,15.9656,20
0.824633,4.14267,0,4.14267,29.88,154.363,340,0,0,786,15.9822,15.9822,20
0.840649,0.129901,0,0.129901,29.88,154.363,50,0,0,786,15.9822,15.9822,20
0.84234,0.252548,0,0.252548,29.86,154.198,50,0,0,786,15.9822,15.9822,20
0.874689,12.3265,0,12.3265,29.86,154.198,870,6,0,788,16.047,16.047,20
0.876282,0.099502,0,0.099502,29.84,154.033,50,0,0,788,16.047,16.047,20
0.907463,11.0178,0,11.0178,29.84,154.033,823,16,0,790,16.1101,16.1101,20
0.925326,16.4727,0,16.4727,29.82,153.868,1100,70,0,792,16.202,16.202,20
0.934828,5.56959,0,5.56959,29.82,153.868,370,0,0,793,16.2219,16.2219,20
0.936654,0.155647,0,0.155647,29.8,153.702,50,0,0,793,16.2219,16.2219,20
0.96403,7.12749,0,7.12749,29.8,153.702,463,4,0,795,16.234,16.234,20
0.967741,2.25611,0,2.25611,29.78,153.537,192,0,0,796,16.2412,16.2412,20
0.989354,3.325,0,3.325,29.78,153.537,210,0,0,798,16.2206,16.2206,20
0.990856,0.067941,0,0.067941,29.76,153.372,50,0,0,798,16.2206,16.2206,20
1.01138,0.136934,0,0.136934,29.76,153.372,50,0,0,798,16.2206,16.2206,20
1.01362,0.659079,0,0.659079,29.74,153.207,50,0,0,798,16.2206,16.2206,20
1.04083,7.26858,0,7.26858,29.74,153.207,527,0,0,800,16.2488,16.2488,20
1.04444,2.24877,0,2.24877,29.72,153.041,210,0,0,801,16.2484,16.2484,20
1.06424,1.36442,0,1.36442,29.72,153.041,129,2,0,802,16.2406,16.2406,20
1.06576,0.133608,0,0.133608,29.7,152.876,50,0,0,802,16.2406,16.2406,20
1.09297,6.37846,0,6.37846,29.7,152.876,324,3,0,804,16.2388,16.2388,20
1.1102,14.5916,0,14.5916,29.68,152.711,720,0,0,805,16.3019,16.3019,20
1.11674,0.973036,0,0.973036,29.68,152.711,50,0,0,805,16.3019,16.3019,20
1.12729,8.59154,0,8.59154,29.66,152.546,573,4,0,807,16.3333,16.3333,20
1.14398,5.06682,0,5.06682,29.66,152.546,370,2,0,808,16.3527,16.3527,20
1.14835,2.9544,0,2.9544,29.64,152.381,257,0,0,809,16.3622,16.3622,20
1.16677,0.745661,0,0.745661,29.64,152.381,50,0,0,809,16.3622,16.3622,20
1.16927,0.653726,0,0.653726,29.62,152.215,50,0,0,809,16.3622,16.3622,20
1.19552,6.45895,0,6.45895,29.62,152.215,470,0,0,810,16.3975,16.3975,20
1.20983,12.1944,0,12.1944,29.6,152.05,710,12,0,812,16.4397,16.4397,20
1.21859,0.675829,0,0.675829,29.6,152.05,50,0,0,812,16.4397,16.4397,20
1.2214,1.23064,0,1.23064,29.58,151.885,122,0,0,812,16.4397,16.4397,20
1.24852,7.89157,0,7.89157,29.58,151.885,340,0,0,813,16.4551,16.4551,20
1.25854,7.94968,0,7.94968,29.56,151.72,573,2,0,815,16.4822,16.4822,20
1.27867,7.88941,0,7.88941,29.56,151.72,415,0,0,817,16.4945,16.4945,20
1.28629,5.80877,0,5.80877,29.54,151.554,347,1,0,819,16.4908,16.4908,20
1.30253,1.6446,0,1.6446,29.54,151.554,153,0,0,820,16.4866,16.4866,20
1.30468,0.087412,0,0.087412,29.52,151.389,66,0,0,820,16.4866,16.4866,20
1.32791,2.83509,0,2.83509,29.52,151.389,236,0,0,821,16.4872,16.4872,20
1.33251,2.66893,0,2.66893,29.5,151.224,136,0,0,822,16.4757,16.4757,20
1.37914,28.9017,0,28.9017,29.5,151.224,1163,0,0,824,16.5704,16.5704,20
1.38725,6.11545,0,6.11545,29.48,151.059,472,12,0,825,16.5976,16.5976,20
1.40885,7.22846,0,7.22846,29.48,151.059,422,2,0,826,16.6186,16.6186,20
1.41877,7.7344,0,7.7344,29.46,150.893,602,0,0,827,16.6614,16.6614,20
1.44091,9.14788,0,9.14788,29.46,150.893,562,14,0,828,16.6993,16.6993,20
1.44395,0.90456,0,0.90456,29.44,150.728,142,0,0,829,16.6864,16.6864,20
1.4711,7.08843,0,7.08843,29.44,150.728,382,2,0,830,16.7012,16.7012,20
