elapsed_s,total_latency_ms,update_ms,plan_ms,time_to_goal,path_cost,obstacle_checks,queue_operations,collision_count,tree_size,avg_deg_out,avg_deg_in,radius
1.20798,1207.64,1207.52,0.123818,20,137.845,969224,5236,0,2455,75.3605,78.6257,14.7953
1.2125,1.89663,0,1.89663,19.98,139.672,1549,0,0,2456,75.3929,78.6568,14.7953
1.23082,0.135088,0,0.135088,19.98,139.672,30,0,0,2456,75.3929,78.6568,14.7935
1.23411,1.0257,0,1.0257,19.96,139.474,1092,0,0,2457,75.4062,78.6687,14.7935
1.25347,0.033508,0,0.033508,19.96,139.474,30,0,0,2457,75.4062,78.6687,14.7918
1.25756,1.92464,0,1.92464,19.94,139.277,1704,0,0,2458,75.4451,78.7063,14.7918
1.27596,0.060774,0,0.060774,19.94,139.277,30,0,0,2458,75.4451,78.7063,14.79
1.2785,0.027684,0,0.027684,19.92,139.079,30,0,0,2458,75.4451,78.7063,14.79
1.29994,1.05778,0,1.05778,19.92,139.079,667,0,0,2459,75.4624,78.7222,14.79
1.30239,0.266476,0,0.266476,19.9,138.882,261,0,0,2460,75.4671,78.7256,14.7883
1.32259,0.11643,0,0.11643,19.9,138.882,30,0,0,2460,75.4671,78.7256,14.7865
1.32613,1.17113,0,1.17113,19.88,138.684,1172,0,0,2461,75.4884,78.7456,14.7865
1.34648,1.31082,0,1.31082,19.88,138.684,790,0,0,2462,75.4886,78.7445,14.7848
1.35056,1.55855,0,1.55855,19.86,138.487,1256,0,0,2463,75.5091,78.7637,14.7831
1.37023,1.21179,0,1.21179,19.86,138.487,954,0,0,2464,75.517,78.7703,14.7813
1.37331,0.468034,0,0.468034,19.84,138.289,487,0,0,2465,75.5254,78.7773,14.7796
1.39312,0.029407,0,0.029407,19.84,138.289,50,0,0,2465,75.5254,78.7773,14.7778
1.39562,0.052648,0,0.052648,19.82,138.092,50,0,0,2465,75.5254,78.7773,14.7778
1.41984,3.74958,0,3.74958,19.82,138.092,1631,0,0,2466,75.5661,78.8167,14.7778
1.42809,4.42464,0,4.42464,19.8,137.894,1719,0,0,2467,75.6044,78.8537,14.7761
1.44392,0.136335,0,0.136335,19.8,137.894,61,0,0,2467,75.6044,78.8537,14.7743
1.44907,2.26823,0,2.26823,19.78,137.696,1141,0,0,2468,75.624,78.872,14.7743
1.46874,2.03078,0,2.03078,19.78,137.696,1625,0,0,2469,75.6618,78.9085,14.7726
1.47128,0.012452,0,0.012452,19.76,137.499,71,0,0,2469,75.6618,78.9085,14.7709
1.4938,2.12542,0,2.12542,19.76,137.499,1114,0,0,2470,75.6826,78.9279,14.7709
1.49893,2.55969,0,2.55969,19.74,137.301,1103,2,0,2471,75.6997,78.9437,14.7691
1.51911,2.27005,0,2.27005,19.74,137.301,789,0,0,2472,75.6986,78.9413,14.7674
1.52692,3.29372,0,3.29372,19.72,137.104,1313,0,0,2473,75.719,78.9604,14.7656
1.5453,1.62524,0,1.62524,19.72,137.104,1254,0,0,2474,75.7425,78.9826,14.7639
1.54967,1.33862,0,1.33862,19.7,136.906,619,6,0,2475,75.7463,78.9851,14.7622
1.5718,3.66392,0,3.66392,19.7,136.906,1548,0,0,2476,75.7771,79.0145,14.7604
1.57759,1.21602,0,1.21602,19.68,136.709,512,0,0,2477,75.7642,79.0004,14.7587
1.59726,0.161802,0,0.161802,19.68,136.709,81,0,0,2477,75.7642,79.0004,14.757
1.60312,2.23188,0,2.23188,19.66,136.511,1228,2,0,2478,75.7881,79.0234,14.757
1.62478,3.33071,0,3.33071,19.66,136.511,1927,0,0,2479,75.8354,79.0694,14.7552
1.63108,3.76276,0,3.76276,19.64,136.314,1351,0,0,2480,75.856,79.0887,14.7535
1.64797,0.202104,0,0.202104,19.64,136.314,81,0,0,2480,75.856,79.0887,14.7518
1.65181,0.159438,0,0.159438,19.62,136.116,81,0,0,2480,75.856,79.0887,14.7518
1.67725,5.54153,0,5.54153,19.62,136.116,1956,0,0,2481,75.9073,79.1387,14.7518
1.68601,3.55473,0,3.55473,19.6,135.919,1519,0,0,2482,75.9416,79.1716,14.7501
1.70433,2.12462,0,2.12462,19.6,135.919,1582,0,0,2483,75.9722,79.201,14.7483
1.71028,3.15194,0,3.15194,19.58,135.721,1363,0,0,2484,75.9972,79.2246,14.7466
1.72937,1.80923,0,1.80923,19.58,135.721,723,0,0,2485,75.9968,79.2229,14.7449
1.73377,0.069097,0,0.069097,19.56,135.523,91,0,0,2485,75.9968,79.2229,14.7432
1.75422,0.083678,0,0.083678,19.56,135.523,91,0,0,2485,75.9968,79.2229,14.7432
1.76011,3.05401,0,3.05401,19.54,135.326,1281,0,0,2486,76.0201,79.245,14.7432
1.78016,2.72088,0,2.72088,19.54,135.326,1793,0,0,2487,76.0643,79.2879,14.7414
1.78573,3.13499,0,3.13499,19.52,135.128,1062,0,0,2488,76.0768,79.299,14.7397
1.80323,0.608497,0,0.608497,19.52,135.128,379,0,0,2489,76.0591,79.28,14.738
1.80781,0.101004,0,0.101004,19.5,134.931,111,0,0,2489,76.0591,79.28,14.7363
1.83333,4.87588,0,4.87588,19.5,134.931,1889,0,0,2490,76.1024,79.3221,14.7363
1.83824,1.7571,0,1.7571,19.48,134.733,817,0,0,2491,76.114,79.3324,14.7345
1.86,3.23392,0,3.23392,19.48,134.733,1831,0,0,2492,76.1605,79.3776,14.7328
1.86634,2.11355,0,2.11355,19.46,134.536,1073,2,0,2493,76.1769,79.3943,14.7311
1.88758,2.92564,0,2.92564,19.46,134.536,1193,0,0,2494,76.1905,79.4066,14.7294
1.89621,3.87801,0,3.87801,19.44,134.338,1251,0,0,2495,76.2052,79.42,14.7277
1.91531,2.61527,0,2.61527,19.44,134.338,1115,0,0,2496,76.2236,79.4371,14.7259
1.91851,0.160126,0,0.160126,19.42,134.141,121,0,0,2496,76.2236,79.4371,14.7242
1.93988,1.32238,0,1.32238,19.42,134.141,545,0,0,2496,76.2236,79.4371,14.7242
1.94454,0.379016,0,0.379016,19.4,133.943,401,0,0,2496,76.2236,79.4371,14.7242
1.96475,0.199651,0,0.199651,19.4,133.943,121,0,0,2496,76.2236,79.4371,14.7242
1.97263,4.04407,0,4.04407,19.38,133.746,1143,0,0,2497,76.2347,79.4469,14.7242
1.99456,5.63152,0,5.63152,19.38,133.746,1706,4,0,2498,76.2706,79.4816,14.7225
2.0065,6.87841,0,6.87841,19.36,133.548,2009,0,0,2499,76.3165,79.5262,14.7208
2.02219,2.26068,0,2.26068,19.36,133.548,895,0,0,2500,76.3172,79.5256,14.7191
2.02707,0.083332,0,0.083332,19.34,133.35,127,0,0,2500,76.3172,79.5256,14.7174
2.04905,1.6599,0,1.6599,19.34,133.35,837,0,0,2501,76.3163,79.5234,14.7174
2.05528,3.54923,0,3.54923,19.32,133.153,1158,0,0,2502,76.3317,79.5376,14.7157
2.07427,2.65537,0,2.65537,19.32,133.153,1467,8,0,2503,76.3572,79.5625,14.714
2.07947,0.190263,0,0.190263,19.3,132.955,137,0,0,2503,76.3572,79.5625,14.7122
2.10107,1.74932,0,1.74932,19.3,132.955,760,0,0,2504,76.3682,79.5723,14.7122
2.1063,2.31488,0,2.31488,19.28,132.758,889,0,0,2505,76.3816,79.5844,14.7105
2.13173,7.17715,0,7.17715,19.28,132.758,1881,0,0,2506,76.4218,79.6233,14.7088
2.1351,0.112505,0,0.112505,19.26,132.56,157,0,0,2506,76.4218,79.6233,14.7071
2.15936,3.57616,0,3.57616,19.26,132.56,1113,0,0,2507,76.4308,79.631,14.7071
2.16824,4.28595,0,4.28595,19.24,132.363,1427,53,0,2508,76.4502,79.6471,14.7054
2.18809,3.71259,0,3.71259,19.24,132.363,1505,0,0,2509,76.4747,79.6704,14.7037
2.19295,0.178184,0,0.178184,19.22,132.165,167,0,0,2509,76.4747,79.6704,14.702
2.21624,2.64253,0,2.64253,19.22,132.165,1323,0,0,2510,76.494,79.6884,14.702
2.21887,0.072087,0,0.072087,19.2,131.968,167,0,0,2510,76.494,79.6884,14.7003
2.24247,3.28322,0,3.28322,19.2,131.968,1344,10,0,2511,76.5121,79.7057,14.7003
2.24716,1.81854,0,1.81854,19.18,131.77,746,1,0,2512,76.5131,79.7054,14.6986
2.26661,1.39086,0,1.39086,19.18,131.77,1313,0,0,2513,76.5348,79.7258,14.6969
2.27229,2.58627,0,2.58627,19.16,131.573,1787,0,0,2514,76.5688,79.7586,14.6952
2.2917,1.59244,0,1.59244,19.16,131.573,878,0,0,2515,76.5761,79.7646,14.6935
2.29718,1.61432,0,1.61432,19.14,131.375,1263,0,0,2516,76.5946,79.7818,14.6918
2.31869,2.89375,0,2.89375,19.14,131.375,1201,0,0,2517,76.6063,79.7922,14.6901
2.32749,3.7607,0,3.7607,19.12,131.177,1473,0,0,2518,76.6322,79.8169,14.6884
2.34788,3.53252,0,3.53252,19.12,131.177,1167,0,0,2519,76.6411,79.8245,14.6867
2.35365,2.52763,0,2.52763,19.1,130.98,1195,0,0,2520,76.6575,79.8397,14.685
2.37426,2.71671,0,2.71671,19.1,130.98,1065,0,0,2521,76.6783,79.8592,14.6833
2.38464,5.24153,0,5.24153,19.08,130.782,1906,0,0,2522,76.724,79.9036,14.6816
2.39923,0.105795,0,0.105795,19.08,130.782,177,0,0,2522,76.724,79.9036,14.6799
2.40219,0.120539,0,0.120539,19.06,130.585,177,0,0,2522,76.724,79.9036,14.6799
2.42209,0.07463,0,0.07463,19.06,130.585,177,0,0,2522,76.724,79.9036,14.6799
2.42477,0.066072,0,0.066072,19.04,130.387,187,0,0,2522,76.724,79.9036,14.6799
2.44505,0.091736,0,0.091736,19.04,130.387,187,0,0,2522,76.724,79.9036,14.6799
2.45349,3.02711,0,3.02711,19.02,130.19,1685,0,0,2523,76.757,79.9354,14.6799
2.47478,3.91871,0,3.91871,19.02,130.19,1451,0,0,2524,76.7769,79.954,14.6782
2.47925,0.192148,0,0.192148,19,129.992,198,0,0,2524,76.7769,79.954,14.6766
2.49981,0.963154,0,0.963154,19,129.992,857,0,0,2525,76.7952,79.9711,14.6766
2.50369,1.86664,0,1.86664,18.98,129.795,1986,0,0,2526,76.8365,80.0111,14.6749
2.52412,1.52182,0,1.52182,18.98,129.795,908,0,0,2527,76.8342,80.0075,14.6732
2.52672,0.197108,0,0.197108,18.96,129.597,368,0,0,2528,76.8105,79.9826,14.6715
2.55108,3.73511,0,3.73511,18.96,129.597,2221,0,0,2529,76.8616,80.0324,14.6698
2.55465,0.084603,0,0.084603,18.94,129.4,208,0,0,2529,76.8616,80.0324,14.6681
2.57616,1.05031,0,1.05031,18.94,129.4,677,0,0,2529,76.8616,80.0324,14.6681
2.58299,2.5288,0,2.5288,18.92,129.202,1200,0,0,2530,76.8708,80.0403,14.6681
2.60254,2.14066,0,2.14066,18.92,129.202,1844,0,0,2531,76.9083,80.0766,14.6664
2.60795,0.574034,0,0.574034,18.9,129.004,416,0,0,2532,76.8886,80.0557,14.6647
2.63234,5.00574,0,5.00574,18.9,129.004,2213,0,0,2533,76.9396,80.1054,14.6631
2.63852,3.23174,0,3.23174,18.88,128.807,1418,2,0,2534,76.9578,80.1219,14.6614
2.65573,0.909669,0,0.909669,18.88,128.807,852,0,0,2535,76.9819,80.1448,14.6597
2.65856,0.618008,0,0.618008,18.86,128.609,971,0,0,2536,76.9842,80.1459,14.658
2.67979,0.933301,0,0.933301,18.86,128.609,792,0,0,2537,76.9917,80.1521,14.6563
2.68435,1.25108,0,1.25108,18.84,128.412,1055,0,0,2538,76.9965,80.1556,14.6546
2.70671,3.0353,0,3.0353,18.84,128.412,1303,0,0,2539,77.0138,80.1717,14.653
2.71049,1.56707,0,1.56707,18.82,128.214,1753,0,0,2540,77.0504,80.2071,14.6513
2.73137,1.79431,0,1.79431,18.82,128.214,903,0,0,2541,77.0547,80.2102,14.6496
2.73893,2.79179,0,2.79179,18.8,128.154,1303,0,0,2542,77.0759,80.2301,14.6479
2.75723,1.39427,0,1.39427,18.8,128.154,771,0,0,2543,77.0834,80.2363,14.6463
2.76366,2.11518,0,2.11518,18.78,128.123,999,0,0,2544,77.0873,80.239,14.6446
2.78177,0.010768,0,0.010768,18.78,128.123,189,0,0,2544,77.0873,80.239,14.6429
2.78502,1.21235,0,1.21235,18.76,128.091,1517,2,0,2545,77.112,80.2621,14.6429
