elapsed_s,total_latency_ms,update_ms,plan_ms,time_to_goal,path_cost,obstacle_checks,queue_operations,collision_count,tree_size,avg_deg_out,avg_deg_in,radius
2.0019e-05,31.8828,25.0697,6.81303,0,0,89444,2435,0,3358,96.67,96.701,9.61139
0.100158,63.6197,56.9319,6.68784,0,0,138250,4675,0,3378,96.4186,96.4651,9.58639
0.200292,94.8834,87.251,7.63246,0,0,212874,6764,0,3398,96.1904,96.2499,9.5616
0.300393,134.622,126.688,7.93374,0,0,301016,10320,0,3417,95.7027,95.7357,9.53824
0.43776,154.322,147.119,7.20372,0,0,384428,11959,0,3437,95.5726,95.5988,9.51385
0.594679,169.775,162.678,7.09743,0,0,455418,12818,0,3456,95.6918,95.6953,9.49087
0.768198,187.728,182.571,5.15679,0,0,508760,13049,0,3475,95.8452,95.8506,9.46806
0.958767,178.666,171.461,7.20474,0,0,544482,12388,0,3495,96.2223,96.2292,9.44425
1.13995,182.227,176.086,6.14091,0,0,578258,11563,0,3514,96.5211,96.5304,9.42181
1.32458,186.701,181.068,5.6336,0,0,563154,10981,0,3532,96.7112,96.7237,9.4007
1.51385,183.075,177.236,5.83913,0,0,569801,11001,0,3551,96.9392,96.9541,9.37859
1.6994,181.865,176.017,5.84798,0,0,580114,10568,0,3569,97.1956,97.2121,9.3578
1.88388,186.841,181.262,5.57923,0,0,593675,9871,0,3587,97.4589,97.4731,9.33715
2.07356,191.212,185.309,5.90299,0,0,617300,9767,0,3605,97.7218,97.7381,9.31552
2.26761,186.388,179.771,6.61663,0,0,630125,9563,0,3625,98.0444,98.0607,9.29405
2.45691,184.558,178.662,5.89568,0,0,653671,8711,0,3643,98.2819,98.2943,9.27385
2.64426,198.402,192.749,5.65384,0,0,661297,9680,0,3660,98.4981,98.5131,9.25491
2.84539,197.871,191.903,5.96755,0,0,665216,9955,0,3680,98.7677,98.7837,9.23279
3.04591,195.764,190.096,5.66742,0,0,661927,9367,0,3697,98.9708,98.9862,9.21412
3.24436,198.28,191.681,6.59959,0,0,647173,9253,0,3715,99.2614,99.2845,9.19448
3.44573,198.292,192.451,5.8408,0,0,638262,9273,0,3733,99.472,99.495,9.1739
3.64682,186.715,181.268,5.44668,0,0,635234,9207,0,3748,99.7078,99.7319,9.15775
3.83627,187.653,181.595,6.05787,0,0,634385,8830,0,3766,99.9684,99.9883,9.13956
4.0268,184.015,178.397,5.61784,0,0,627013,8541,0,3783,100.181,100.197,9.1215
4.21379,183.218,177.234,5.98419,0,0,626835,8052,0,3802,100.462,100.476,9.10038
4.39968,186.915,180.788,6.1272,0,0,630533,8115,0,3820,100.721,100.734,9.08256
4.58952,182.18,176.875,5.30524,0,0,628237,8164,0,3838,100.905,100.921,9.06382
4.77443,176.966,170.154,6.81185,0,0,617690,7702,0,3858,101.181,101.2,9.04313
4.95446,169.135,161.903,7.23219,0,0,615239,7219,0,3878,101.484,101.494,9.0226
