elapsed_s,total_latency_ms,update_ms,plan_ms,time_to_goal,path_cost,obstacle_checks,queue_operations,collision_count,tree_size,avg_deg_out,avg_deg_in,radius
0.404317,403.164,396.023,7.14025,25,154.613,43353,469,0,533,13.9644,13.9644,40
0.417425,4.78072,0,4.78072,24.98,155.465,759,0,0,534,13.9981,13.9981,40
0.437136,3.47451,0,3.47451,24.98,155.465,610,0,0,535,14.0187,14.0187,40
0.454712,9.13532,0,9.13532,24.96,155.309,1147,1,0,537,14.0968,14.0968,40
0.470723,3.78596,0,3.78596,24.96,155.309,798,2,0,538,14.158,14.158,40
0.484633,5.37468,0,5.37468,24.94,155.153,732,0,0,538,14.158,14.158,40
0.501541,0.531898,0,0.531898,24.94,155.153,520,0,0,538,14.158,14.158,40
0.51038,0.209374,0,0.209374,24.92,154.997,529,0,0,538,14.158,14.158,40
0.549656,17.9139,0,17.9139,24.92,154.997,1738,3,0,541,14.3752,14.3752,40
0.564339,5.6608,0,5.6608,24.9,154.84,829,0,0,544,14.3511,14.3511,40
0.580824,1.09726,0,1.09726,24.9,154.84,663,1,0,545,14.3486,14.3486,40
0.594532,4.95918,0,4.95918,24.88,154.683,958,0,0,547,14.3931,14.3931,40
0.613286,2.64365,0,2.64365,24.88,154.683,595,0,0,547,14.3931,14.3931,40
0.630919,8.68522,0,8.68522,24.86,154.526,871,0,0,549,14.4171,14.4171,40
0.666244,22.9426,0,22.9426,24.86,154.526,2152,0,0,551,14.7223,14.7223,40
0.676252,0.728339,0,0.728339,24.84,154.368,597,0,0,552,14.7029,14.7029,40
0.701099,3.81126,0,3.81126,24.84,154.368,747,0,0,553,14.7107,14.7107,40
0.72413,14.0514,0,14.0514,24.82,154.21,1533,6,0,556,14.8147,14.8147,40
0.737918,3.98525,0,3.98525,24.8,154.052,609,0,0,556,14.8147,14.8147,40
0.767207,12.3421,0,12.3421,24.8,154.052,1524,0,0,558,14.9875,14.9875,40
0.776857,0.398692,0,0.398692,24.78,153.892,564,0,0,558,14.9875,14.9875,40
0.800506,3.19753,0,3.19753,24.78,153.892,708,0,0,560,14.9714,14.9714,40
