elapsed_s,total_latency_ms,update_ms,plan_ms,time_to_goal,path_cost,obstacle_checks,queue_operations,collision_count,tree_size,avg_deg_out,avg_deg_in,radius
0.284483,283.73,283.73,0,40,142.265,97904,1660,0,1000,110.154,110.154,36.2143
5.23671,157.757,157.757,0,36.32,124.408,69989,1200,0,1000,110.154,110.154,36.2143
5.59624,235.321,235.321,0,36.2,128.958,110045,1386,0,1000,110.154,110.154,36.2143
6.0189,285.142,285.142,0,36.06,142.02,143536,1478,0,1000,110.154,110.154,36.2143
6.47512,319.216,319.216,0,35.92,151.592,139581,1497,0,1000,110.154,110.154,36.2143
6.91352,278.211,278.211,0,35.76,137.371,140904,1542,0,1000,110.154,110.154,36.2143
7.34943,273.679,273.679,0,35.6,137.138,134706,1523,0,1000,110.154,110.154,36.2143
7.83862,270.187,270.187,0,35.4,130.412,124109,1426,0,1000,110.154,110.154,36.2143
8.3541,294.576,294.576,0,35.2,130.14,128054,1357,0,1000,110.154,110.154,36.2143
8.80001,224.818,224.818,0,35,129.868,104513,1109,0,1000,110.154,110.154,36.2143
9.26974,227.229,227.229,0,34.76,127.285,115613,1342,0,1000,110.154,110.154,36.2143
9.82599,288.599,288.599,0,34.5,125.008,138407,1475,0,1000,110.154,110.154,36.2143
12.156,283.832,283.832,0,32.66,117.016,122335,1257,0,1000,110.154,110.154,36.2143
12.6494,228.107,228.107,0,32.4,119.905,91699,1257,0,1000,110.154,110.154,36.2143
13.1159,205.969,205.969,0,32.14,115.713,95846,958,0,1000,110.154,110.154,36.2143
13.6334,207.099,207.099,0,31.84,107.85,92198,984,0,1000,110.154,110.154,36.2143
14.2263,221.444,221.444,0,31.52,107.06,97084,934,0,1000,110.154,110.154,36.2143
14.8308,193.341,193.341,0,31.2,106.269,89097,934,0,1000,110.154,110.154,36.2143
15.5105,176.349,176.349,0,30.82,106.106,78461,863,0,1000,110.154,110.154,36.2143
16.2448,202.334,202.334,0,30.42,105.45,94380,872,0,1000,110.154,110.154,36.2143
16.9878,172.048,172.048,0,30,104.762,77170,647,0,1000,110.154,110.154,36.2143
17.8216,174.254,174.254,0,29.52,103.974,79905,757,0,1000,110.154,110.154,36.2143
18.7667,225.76,225.76,0,29,103.122,85377,883,0,1000,110.154,110.154,36.2143
19.4175,222.67,222.67,0,28.62,113.058,111792,1120,0,1000,110.154,110.154,36.2143
20.1399,240.87,240.87,0,28.2,104.228,119651,1572,0,1000,110.154,110.154,36.2143
20.8318,204.993,204.993,0,27.76,112.274,99789,1465,0,1000,110.154,110.154,36.2143
21.5965,236.904,236.904,0,27.3,103.951,116111,1239,0,1000,110.154,110.154,36.2143
22.4135,211.702,211.702,0,26.8,102.95,107547,1088,0,1000,110.154,110.154,36.2143
23.3668,256.578,256.578,0,26.24,101.828,120130,1194,0,1000,110.154,110.154,36.2143
24.3812,253.984,253.984,0,25.64,100.627,118227,1213,0,1000,110.154,110.154,36.2143
24.869,91.2687,91.2687,0,25.32,99.8045,40565,595,0,1000,110.154,110.154,36.2143
25.3517,85.0921,85.0921,0,25,98.3727,42125,395,0,1000,110.154,110.154,36.2143
25.6825,108.413,108.413,0,24.82,97.5673,49748,522,0,1000,110.154,110.154,36.2143
26.4862,123.546,123.546,0,24.28,95.1511,53743,489,0,1000,110.154,110.154,36.2143
27.4145,264.922,264.922,0,23.7,105.986,104420,779,0,1000,110.154,110.154,36.2143
27.8328,200.534,200.534,0,23.5,103.728,94607,876,0,1000,110.154,110.154,36.2143
28.4805,156.335,156.335,0,23.06,92.3928,67872,752,0,1000,110.154,110.154,36.2143
29.3383,121.347,121.347,0,22.4,85.1316,58021,562,0,1000,110.154,110.154,36.2143
30.3291,132.556,132.556,0,21.66,82.0843,53748,548,0,1000,110.154,110.154,36.2143
31.1634,106.042,106.042,0,21.02,81.4046,46772,456,0,1000,110.154,110.154,36.2143
31.4978,173.208,173.208,0,20.86,89.1282,85456,866,0,1000,110.154,110.154,36.2143
32.25,162.19,162.19,0,20.34,88.3604,80455,665,0,1000,110.154,110.154,36.2143
