elapsed_s,total_latency_ms,update_ms,plan_ms,time_to_goal,path_cost,obstacle_checks,queue_operations,collision_count,tree_size,avg_deg_out,avg_deg_in,radius
2.6185e-05,27.7935,27.7935,0,0,0,42161,1600,0,1000,148.204,148.204,24.3655
0.100122,49.8114,49.8114,0,0,0,105369,1860,0,1000,148.204,148.204,24.3655
0.200213,68.0068,68.0068,0,0,0,149107,2139,0,1000,148.204,148.204,24.3655
0.30029,99.7758,99.7758,0,0,0,196160,2506,0,1000,148.204,148.204,24.3655
0.400822,127.496,127.496,0,0,0,220955,2634,0,1000,148.204,148.204,24.3655
0.529182,151.668,151.668,0,0,0,248757,2732,0,1000,148.204,148.204,24.3655
0.681621,181.9,181.9,0,0,0,268262,2888,0,1000,148.204,148.204,24.3655
0.86424,176.903,176.903,0,0,0,268043,2844,0,1000,148.204,148.204,24.3655
1.04184,206.558,206.558,0,0,0,251408,2644,0,1000,148.204,148.204,24.3655
1.24951,195.749,195.749,0,0,0,279909,2682,0,1000,148.204,148.204,24.3655
1.44601,225.012,225.012,0,0,0,293121,2747,0,1000,148.204,148.204,24.3655
1.67206,210.04,210.04,0,0,0,292611,2676,0,1000,148.204,148.204,24.3655
1.88296,196.566,196.566,0,0,0,248244,2576,0,1000,148.204,148.204,24.3655
2.08029,194.84,194.84,0,0,0,241512,2651,0,1000,148.204,148.204,24.3655
2.27594,213.313,213.313,0,0,0,239346,2653,0,1000,148.204,148.204,24.3655
2.49008,233.519,233.519,0,0,0,237794,2636,0,1000,148.204,148.204,24.3655
2.72438,191.782,191.782,0,0,0,235477,2623,0,1000,148.204,148.204,24.3655
2.91718,169.557,169.557,0,0,0,203832,2498,0,1000,148.204,148.204,24.3655
3.08759,188.243,188.243,0,0,0,198230,2416,0,1000,148.204,148.204,24.3655
3.27697,163.828,163.828,0,0,0,194297,2238,0,1000,148.204,148.204,24.3655
3.44189,161.062,161.062,0,0,0,185293,2317,0,1000,148.204,148.204,24.3655
3.60369,159.926,159.926,0,0,0,191168,2392,0,1000,148.204,148.204,24.3655
3.76442,166.779,166.779,0,0,0,204932,2446,0,1000,148.204,148.204,24.3655
3.93195,190.385,190.385,0,0,0,221476,2617,0,1000,148.204,148.204,24.3655
4.12307,172.371,172.371,0,0,0,223661,2579,0,1000,148.204,148.204,24.3655
4.29618,197.406,197.406,0,0,0,240173,2602,0,1000,148.204,148.204,24.3655
4.49431,176.028,176.028,0,0,0,233848,2710,0,1000,148.204,148.204,24.3655
4.67108,181.747,181.747,0,0,0,245448,2687,0,1000,148.204,148.204,24.3655
4.85357,176.544,176.544,0,0,0,232287,2773,0,1000,148.204,148.204,24.3655
5.0309,170.7,170.7,0,0,0,243444,2687,0,1000,148.204,148.204,24.3655
5.20237,160.934,160.934,0,0,0,254868,2662,0,1000,148.204,148.204,24.3655
5.36434,176.453,176.453,0,0,0,263513,2779,0,1000,148.204,148.204,24.3655
5.54159,173.069,173.069,0,0,0,250760,2818,0,1000,148.204,148.204,24.3655
5.71549,175.136,175.136,0,0,0,236863,3006,0,1000,148.204,148.204,24.3655
5.89162,166.233,166.233,0,0,0,231774,2982,0,1000,148.204,148.204,24.3655
6.05863,153.011,153.011,0,0,0,188273,3045,0,1000,148.204,148.204,24.3655
6.21239,123.545,123.545,0,0,0,174092,2862,0,1000,148.204,148.204,24.3655
6.3367,108.724,108.724,0,0,0,163828,2585,0,1000,148.204,148.204,24.3655
6.44615,107.385,107.385,0,0,0,166136,2514,0,1000,148.204,148.204,24.3655
6.5543,111.687,111.687,0,0,0,162616,2290,0,1000,148.204,148.204,24.3655
6.66675,100.126,100.126,0,0,0,162835,2225,0,1000,148.204,148.204,24.3655
6.76762,115.777,115.777,0,0,0,171370,2180,0,1000,148.204,148.204,24.3655
6.88437,100.015,100.015,0,0,0,182639,2296,0,1000,148.204,148.204,24.3655
6.98523,105.999,105.999,0,0,0,196133,2439,0,1000,148.204,148.204,24.3655
7.09219,103.283,103.283,0,0,0,199310,2526,0,1000,148.204,148.204,24.3655
7.19656,116.206,116.206,0,0,0,220965,2678,0,1000,148.204,148.204,24.3655
7.31358,147.123,147.123,0,0,0,263786,2803,0,1000,148.204,148.204,24.3655
7.4618,166.665,166.665,0,0,0,275067,2908,0,1000,148.204,148.204,24.3655
7.6297,157.427,157.427,0,0,0,258240,2995,0,1000,148.204,148.204,24.3655
7.78817,155.656,155.656,0,0,0,261563,2790,0,1000,148.204,148.204,24.3655
7.94481,147.345,147.345,0,0,0,253635,2912,0,1000,148.204,148.204,24.3655
8.09291,135.887,135.887,0,0,0,231548,2880,0,1000,148.204,148.204,24.3655
8.22962,143.37,143.37,0,0,0,226922,2836,0,1000,148.204,148.204,24.3655
8.3738,151.766,151.766,0,0,0,230162,2871,0,1000,148.204,148.204,24.3655
8.52638,168.982,168.982,0,0,0,237384,2785,0,1000,148.204,148.204,24.3655
8.6961,164.12,164.12,0,0,0,234712,2731,0,1000,148.204,148.204,24.3655
8.86096,174.492,174.492,0,0,0,239372,2691,0,1000,148.204,148.204,24.3655
9.03624,182.342,182.342,0,0,0,235507,2722,0,1000,148.204,148.204,24.3655
9.21936,178.022,178.022,0,0,0,231036,2777,0,1000,148.204,148.204,24.3655
9.39818,166.618,166.618,0,0,0,241271,2644,0,1000,148.204,148.204,24.3655
9.56561,166.802,166.802,0,0,0,244235,2512,0,1000,148.204,148.204,24.3655
9.73316,163.332,163.332,0,0,0,221952,2575,0,1000,148.204,148.204,24.3655
9.89728,163.433,163.433,0,0,0,220283,2531,0,1000,148.204,148.204,24.3655
