elapsed_s,total_latency_ms,update_ms,plan_ms,time_to_goal,path_cost,obstacle_checks,queue_operations,collision_count,tree_size,avg_deg_out,avg_deg_in,radius
3.85081,3850.1,3850.1,0,40,142.265,1442310,160,5,1000,110.154,110.154,36.2143
9.04987,410.357,410.357,0,36.32,124.408,147415,416,5,1000,110.154,110.154,36.2143
9.79926,542.147,542.147,0,36.2,inf,181940,59,5,1000,110.154,110.154,36.2143
10.7221,708.202,708.202,0,36.06,inf,269333,59,5,1000,110.154,110.154,36.2143
11.4608,528.733,528.733,0,35.92,inf,189486,20,5,1000,110.154,110.154,36.2143
11.9093,218.206,218.206,0,35.76,inf,102931,15,5,1000,110.154,110.154,36.2143
12.5778,423.149,423.149,0,35.6,inf,177904,21,5,1000,110.154,110.154,36.2143
13.2853,453.41,453.41,0,35.4,inf,195631,25,5,1000,110.154,110.154,36.2143
14.0098,445.323,445.323,0,35.2,inf,198153,17,5,1000,110.154,110.154,36.2143
14.4319,179.647,179.647,0,35,inf,102390,25,5,1000,110.154,110.154,36.2143
15.0563,249.953,249.953,0,34.76,inf,105519,15,5,1000,110.154,110.154,36.2143
15.8195,423.653,423.653,0,34.5,inf,210667,52,5,1000,110.154,110.154,36.2143
18.6901,463.926,463.926,0,32.66,inf,166748,42,5,1000,110.154,110.154,36.2143
19.5362,521.695,521.695,0,32.4,inf,218041,46,5,1000,110.154,110.154,36.2143
20.6711,811.945,811.945,0,32.14,inf,304677,61,5,1000,110.154,110.154,36.2143
21.596,510.335,510.335,0,31.84,inf,213860,43,5,1000,110.154,110.154,36.2143
22.2687,244.458,244.458,0,31.52,inf,119436,33,5,1000,110.154,110.154,36.2143
23.1518,462.199,462.199,0,31.2,inf,210596,52,5,1000,110.154,110.154,36.2143
24.1128,484.806,484.806,0,30.82,inf,217788,55,5,1000,110.154,110.154,36.2143
25.1334,460.802,460.802,0,30.42,inf,230248,54,5,1000,110.154,110.154,36.2143
25.9276,219.655,219.655,0,30,inf,117835,25,5,1000,110.154,110.154,36.2143
26.7575,251.091,251.091,0,29.52,109.301,110814,68,5,1000,110.154,110.154,36.2143
28.2735,944.781,944.781,0,29,108.145,431579,219,5,1000,110.154,110.154,36.2143
29.3434,558.277,558.277,0,28.62,103.397,233500,365,5,1000,110.154,110.154,36.2143
30.5876,732.596,732.596,0,28.2,98.1192,325394,280,5,1000,110.154,110.154,36.2143
31.6879,583.123,583.123,0,27.76,92.8811,241048,479,5,1000,110.154,110.154,36.2143
32.4818,239.564,239.564,0,27.3,89.6268,134458,172,5,1000,110.154,110.154,36.2143
33.7071,500.041,500.041,0,26.8,86.0895,219323,212,5,1000,110.154,110.154,36.2143
35.0316,492.994,492.994,0,26.24,82.1277,250194,3125,5,1000,110.154,110.154,36.2143
36.3039,493.69,493.69,0,25.64,81.1445,261653,92,5,1000,110.154,110.154,36.2143
37.0986,395.71,395.71,0,25.32,79.0378,205904,217,5,1000,110.154,110.154,36.2143
37.7345,212.446,212.446,0,25,72.7249,131369,67,5,1000,110.154,110.154,36.2143
38.5197,513.778,513.778,0,24.82,69.1739,243508,146,5,1000,110.154,110.154,36.2143
40.2968,918.56,918.56,0,24.28,58.5209,470871,439,5,1000,110.154,110.154,36.2143
41.8371,531.418,531.418,0,23.7,54.678,251127,270,5,1000,110.154,110.154,36.2143
42.636,441.936,441.936,0,23.5,54.1024,281963,438,5,1000,110.154,110.154,36.2143
43.6519,267.248,267.248,0,23.06,52.1205,163677,325,5,1000,110.154,110.154,36.2143
45.1137,422.325,422.325,0,22.4,50.8764,252786,533,5,1000,110.154,110.154,36.2143
46.9026,779.779,779.779,0,21.66,49.0134,489967,1068,5,1000,110.154,110.154,36.2143
48.3097,435.32,435.32,0,21.02,47.6652,236747,411,5,1000,110.154,110.154,36.2143
49.0323,464.188,464.188,0,20.86,47.3282,282191,616,5,1000,110.154,110.154,36.2143
50.2329,600.179,600.179,0,20.34,46.2327,373146,751,5,1000,110.154,110.154,36.2143
50.914,187.383,187.383,0,20,45.5165,142219,318,5,1000,110.154,110.154,36.2143
51.8781,477.175,477.175,0,19.62,43.0257,275018,599,5,1000,110.154,110.154,36.2143
52.9956,230.493,230.493,0,19.04,41.8641,133745,251,5,1000,110.154,110.154,36.2143
53.4529,221.179,221.179,0,18.84,41.4694,162629,395,5,1000,110.154,110.154,36.2143
55.5856,1039.99,1039.99,0,18,39.8115,742012,1817,5,1000,110.154,110.154,36.2143
57.0289,377.214,377.214,0,17.24,38.3116,260432,705,5,1000,110.154,110.154,36.2143
57.6327,386.343,386.343,0,17.08,37.9958,280657,640,5,1000,110.154,110.154,36.2143
59.1907,552.081,552.081,0,16.42,39.6461,392505,980,5,1000,110.154,110.154,36.2143
60.063,335.562,335.562,0,16.08,40.4481,272646,702,5,1000,110.154,110.154,36.2143
61.1854,385.812,385.812,0,15.54,38.936,260423,2855,5,1000,110.154,110.154,36.2143
62.0711,159.785,159.785,0,15,39.1844,145801,24,5,1000,110.154,110.154,36.2143
62.8108,175.222,175.222,0,14.6,38.7235,144353,45,5,1000,110.154,110.154,36.2143
63.507,281.052,281.052,0,14.32,38.4009,201821,139,5,1000,110.154,110.154,36.2143
64.2933,138.344,138.344,0,13.8,37.8018,115624,28,5,1000,110.154,110.154,36.2143
64.8994,293.648,293.648,0,13.6,37.5713,261048,260,5,1000,110.154,110.154,36.2143
65.4627,310.895,310.895,0,13.44,54.6138,256643,197,5,1000,110.154,110.154,36.2143
67.5968,962.891,962.891,0,12.5,38.2616,915028,1068,5,1000,110.154,110.154,36.2143
69.1767,317.715,317.715,0,11.48,24.1187,273987,445,5,1000,110.154,110.154,36.2143
69.7253,294.117,294.117,0,11.3,23.5814,278517,489,5,1000,110.154,110.154,36.2143
70.7374,199.96,199.96,0,10.66,21.671,198656,449,5,1000,110.154,110.154,36.2143
71.3005,132.357,132.357,0,10.38,20.8351,142808,340,5,1000,110.154,110.154,36.2143
71.9457,106.196,106.196,0,10,19.7008,133966,266,5,1000,110.154,110.154,36.2143
72.7694,262.326,262.326,0,9.64,17.7265,264870,676,5,1000,110.154,110.154,36.2143
73.636,212.545,212.545,0,9.2,16.9174,225678,430,5,1000,110.154,110.154,36.2143
74.9127,396.102,396.102,0,8.56,15.7405,435899,847,5,1000,110.154,110.154,36.2143
76.0899,242.737,242.737,0,7.9,14.5269,246683,507,5,1000,110.154,110.154,36.2143
77.0036,216.861,216.861,0,7.4,13.6075,238081,539,5,1000,110.154,110.154,36.2143
77.8799,321.684,321.684,0,7,12.8719,427909,1072,5,1000,110.154,110.154,36.2143
78.7556,199.45,199.45,0,6.52,11.9893,255741,552,5,1000,110.154,110.154,36.2143
79.4195,103.725,103.725,0,6.14,11.2905,148399,347,5,1000,110.154,110.154,36.2143
80.0547,193.865,193.865,0,5.86,10.7756,240787,488,5,1000,110.154,110.154,36.2143
81.3568,71.8693,71.8693,0,5,9.19423,116795,280,5,1000,110.154,110.154,36.2143
81.7485,120.024,120.024,0,4.8,8.82646,192318,342,5,1000,110.154,110.154,36.2143
