elapsed_s,total_latency_ms,update_ms,plan_ms,time_to_goal,path_cost,obstacle_checks,queue_operations,collision_count,tree_size,avg_deg_out,avg_deg_in,radius
2.5174e-05,50.266,50.266,0,0,0,282676,1853,0,1000,146.188,146.188,24.3655
0.111102,79.1469,79.1469,0,0,0,414250,4566,0,1000,146.188,146.188,24.3655
0.239319,87.4203,87.4203,0,0,0,554099,7474,0,1000,146.188,146.188,24.3655
0.363418,87.6595,87.6595,0,0,0,734465,10607,0,1000,146.188,146.188,24.3655
0.48344,105.614,105.614,0,0,0,895233,13085,0,1000,146.188,146.188,24.3655
0.625006,121.781,121.781,0,0,0,1019571,16395,0,1000,146.188,146.188,24.3655
0.777065,131.32,131.32,0,0,0,1113526,24601,0,1000,146.188,146.188,24.3655
0.939553,163.796,163.796,0,0,0,1177609,32652,0,1000,146.188,146.188,24.3655
1.13365,148.679,148.679,0,0,0,1244957,28442,0,1000,146.188,146.188,24.3655
1.31453,151.212,151.212,0,0,0,1306867,31026,0,1000,146.188,146.188,24.3655
1.49487,186.033,186.033,0,0,0,1384263,34437,0,1000,146.188,146.188,24.3655
1.71028,197.427,197.427,0,0,0,1422971,30516,0,1000,146.188,146.188,24.3655
1.93625,182.286,182.286,0,0,0,1452173,29458,0,1000,146.188,146.188,24.3655
2.14683,182.547,182.547,0,0,0,1482164,32025,0,1000,146.188,146.188,24.3655
2.35606,190.241,190.241,0,0,0,1522682,31758,0,1000,146.188,146.188,24.3655
2.57321,200.48,200.48,0,0,0,1587449,31232,0,1000,146.188,146.188,24.3655
2.80049,186.832,186.832,0,0,0,1598297,35019,0,1000,146.188,146.188,24.3655
3.01367,184.649,184.649,0,0,0,1613042,35052,0,1000,146.188,146.188,24.3655
3.22595,187.028,187.028,0,0,0,1596916,29973,0,1000,146.188,146.188,24.3655
3.44219,194.284,194.284,0,0,0,1624415,29836,0,1000,146.188,146.188,24.3655
3.66339,200.48,200.48,0,0,0,1637541,19879,0,1000,146.188,146.188,24.3655
3.89845,203.859,203.859,0,0,0,1634378,14452,0,1000,146.188,146.188,24.3655
4.13155,186.18,186.18,0,0,0,1626239,18562,0,1000,146.188,146.188,24.3655
4.34833,195.15,195.15,0,0,0,1612561,28304,0,1000,146.188,146.188,24.3655
4.57245,207.327,207.327,0,0,0,1575050,30752,0,1000,146.188,146.188,24.3655
4.80892,197.176,197.176,0,0,0,1602850,35474,0,1000,146.188,146.188,24.3655
5.03378,196.317,196.317,0,0,0,1639321,31007,0,1000,146.188,146.188,24.3655
5.25699,187.678,187.678,0,0,0,1631693,34553,0,1000,146.188,146.188,24.3655
5.47333,198.193,198.193,0,0,0,1570205,36521,0,1000,146.188,146.188,24.3655
5.70017,195.061,195.061,0,0,0,1524939,40530,0,1000,146.188,146.188,24.3655
5.92439,168.34,168.34,0,0,0,1430310,36093,0,1000,146.188,146.188,24.3655
6.12012,170.632,170.632,0,0,0,1371905,39627,0,1000,146.188,146.188,24.3655
6.32103,159.716,159.716,0,0,0,1319894,39573,0,1000,146.188,146.188,24.3655
6.50841,157.546,157.546,0,0,0,1306729,39523,0,1000,146.188,146.188,24.3655
6.69648,165.008,165.008,0,0,0,1216068,38822,0,1000,146.188,146.188,24.3655
6.88939,129.506,129.506,0,0,0,1139163,35535,0,1000,146.188,146.188,24.3655
7.0499,120.417,120.417,0,0,0,1043809,33768,0,1000,146.188,146.188,24.3655
7.20082,105.978,105.978,0,0,0,934355,31237,0,1000,146.188,146.188,24.3655
7.33657,134.147,134.147,0,0,0,882640,28974,0,1000,146.188,146.188,24.3655
7.50706,109.145,109.145,0,0,0,833922,27466,0,1000,146.188,146.188,24.3655
7.65019,93.8795,93.8795,0,0,0,830782,27025,0,1000,146.188,146.188,24.3655
7.7757,94.0071,94.0071,0,0,0,843171,25865,0,1000,146.188,146.188,24.3655
7.9015,94.2935,94.2935,0,0,0,848190,24642,0,1000,146.188,146.188,24.3655
8.02756,97.1345,97.1345,0,0,0,875946,26508,0,1000,146.188,146.188,24.3655
8.15608,108.71,108.71,0,0,0,904585,23691,0,1000,146.188,146.188,24.3655
8.2971,104.14,104.14,0,0,0,958575,24624,0,1000,146.188,146.188,24.3655
8.43325,111.477,111.477,0,0,0,1000309,26486,0,1000,146.188,146.188,24.3655
8.57534,116.949,116.949,0,0,0,1030354,28232,0,1000,146.188,146.188,24.3655
8.72052,128.714,128.714,0,0,0,1062099,30348,0,1000,146.188,146.188,24.3655
8.87858,146.376,146.376,0,0,0,1091049,31071,0,1000,146.188,146.188,24.3655
9.05348,133.754,133.754,0,0,0,1129087,33760,0,1000,146.188,146.188,24.3655
9.21954,150.442,150.442,0,0,0,1179951,35260,0,1000,146.188,146.188,24.3655
9.40121,156.615,156.615,0,0,0,1214255,37361,0,1000,146.188,146.188,24.3655
9.58782,171.278,171.278,0,0,0,1256242,39247,0,1000,146.188,146.188,24.3655
9.78646,162.799,162.799,0,0,0,1286937,36661,0,1000,146.188,146.188,24.3655
9.97817,178.134,178.134,0,0,0,1336438,37894,0,1000,146.188,146.188,24.3655
