elapsed_s,duration_ms,time_to_goal,path_cost,obstacle_checks,rewire_neighbor_searches,orphaned_nodes,collision_count
0.000615985,910.76,20,0,0,4445,23,3
0.91849,0.000539,19.98,0,0,4445,23,3
0.91849,0.000406,19.98,0,0,4445,23,3
0.951275,0.000596,19.96,0,0,4445,23,3
0.951275,0.00048,19.96,0,0,4445,23,3
0.985148,0.001042,19.94,0,0,4445,23,3
0.985148,0.00042,19.94,0,0,4445,23,3
1.01739,0.000509,19.92,0,0,4445,23,3
1.01739,0.000677,19.92,0,0,4445,23,3
1.05372,0.000402,19.9,0,0,4445,23,3
1.05372,0.000434,19.9,0,0,4445,23,3
1.08876,0.000461,19.88,0,0,4445,23,3
1.08876,0.000517,19.88,0,0,4445,23,3
1.12627,0.000438,19.86,0,0,4445,23,3
1.12627,0.000493,19.86,0,0,4445,23,3
1.16326,0.0004,19.84,0,0,4445,23,3
1.16326,0.000671,19.84,0,0,4445,23,3
1.20065,0.000409,19.82,0,0,4445,23,3
1.20065,0.000396,19.82,0,0,4445,23,3
1.23014,0.000387,19.8,0,0,4445,23,3
1.23014,0.00041,19.8,0,0,4445,23,3
1.26214,0.000338,19.78,0,0,4445,23,3
1.26214,0.000432,19.78,0,0,4445,23,3
1.29372,0.000539,19.76,0,0,4445,23,3
1.29372,0.00052,19.76,0,0,4445,23,3
1.32567,0.000413,19.74,0,0,4445,23,3
1.32567,0.000564,19.74,0,0,4445,23,3
1.35703,0.000494,19.72,0,0,4445,23,3
1.35703,0.000415,19.72,0,0,4445,23,3
1.38763,0.000963,19.7,0,0,4445,23,3
1.38763,0.000483,19.7,0,0,4445,23,3
1.41845,0.000363,19.68,0,0,4445,23,3
1.41845,0.000501,19.68,0,0,4445,23,3
1.45302,0.00045,19.66,0,0,4445,23,3
1.45302,0.000371,19.66,0,0,4445,23,3
1.48368,0.000397,19.64,0,0,4445,23,3
1.48368,0.00043,19.64,0,0,4445,23,3
1.51476,0.000393,19.62,0,0,4445,23,3
1.51476,0.000496,19.62,0,0,4445,23,3
1.54559,0.000467,19.6,0,0,4445,23,3
1.54559,0.000395,19.6,0,0,4445,23,3
1.57568,0.000349,19.58,0,0,4445,23,3
1.57568,0.000364,19.58,0,0,4445,23,3
1.60693,0.000331,19.56,0,0,4445,23,3
1.60693,0.000421,19.56,0,0,4445,23,3
1.63857,0.00034,19.54,0,0,4445,23,3
1.63857,0.00042,19.54,0,0,4445,23,3
1.67073,0.000332,19.52,0,0,4445,23,3
1.67073,0.000553,19.52,0,0,4445,23,3
1.70142,0.000402,19.5,0,0,4445,23,3
1.70142,0.000353,19.5,0,0,4445,23,3
1.73103,0.000322,19.48,0,0,4445,23,3
1.73103,0.000595,19.48,0,0,4445,23,3
1.76415,0.000385,19.46,0,0,4445,23,3
1.76415,0.000513,19.46,0,0,4445,23,3
1.79696,0.0004,19.44,0,0,4445,23,3
1.79696,0.000447,19.44,0,0,4445,23,3
1.82732,0.00047,19.42,0,0,4445,23,3
1.82732,0.00036,19.42,0,0,4445,23,3
1.85792,0.000398,19.4,0,0,4445,23,3
1.85792,0.000505,19.4,0,0,4445,23,3
1.88789,0.000415,19.38,0,0,4445,23,3
1.88789,0.00117,19.38,0,0,4445,23,3
1.92145,0.000542,19.36,0,0,4445,23,3
1.92145,0.000501,19.36,0,0,4445,23,3
1.95419,0.000355,19.34,0,0,4445,23,3
1.95419,0.000631,19.34,0,0,4445,23,3
