elapsed_s,duration_ms,time_to_goal,path_cost,obstacle_checks,rewire_neighbor_searches,orphaned_nodes,collision_count
0.000920717,16.0246,25,0,0,0,0,1
8.3176,0.000308,24.965,0,0,0,0,1
9.1448,0.00033,24.914,0,0,0,0,1
9.86658,0.000267,24.869,0,0,0,0,1
10.995,0.000259,24.814,0,0,0,0,1
11.9958,0.000346,24.764,0,0,0,0,1
13.2286,0.000438,24.731,0,0,0,0,1
14.1499,0.00028,24.686,0,0,0,0,1
15.1793,0.000343,24.614,0,0,0,0,1
16.8402,0.000268,24.565,0,0,0,0,1
17.7898,0.000356,24.517,0,0,0,0,1
43.8508,0.000302,24.464,0,0,0,0,1
44.9605,0.000977,24.464,0,0,0,0,1
45.6731,0.000314,24.39,0,0,0,0,1
46.5276,0.00041,24.327,0,0,0,0,1
47.4474,0.000289,24.264,0,0,0,0,1
48.1232,0.000282,24.214,0,0,0,0,1
218.993,0.00028,24.165,0,0,0,0,1
219.762,0.000287,24.165,0,0,0,0,1
220.184,0.000512,24.068,0,0,0,0,1
224.818,0.000306,24.019,0,0,0,0,1
224.87,0.000374,23.982,0,0,0,0,1
224.922,0.000386,23.927,0,0,0,0,1
224.974,0.000419,23.869,0,0,0,0,1
225.027,0.000528,23.831,0,0,0,0,1
225.079,0.000284,23.773,0,0,0,0,1
225.131,0.00021,23.734,0,0,0,0,1
225.182,0.000282,23.677,0,0,0,0,1
225.234,0.000273,23.618,0,0,0,0,1
225.286,0.000285,23.579,0,0,0,0,1
225.339,0.000262,23.521,0,0,0,0,1
225.39,0.000358,23.483,0,0,0,0,1
225.443,0.000217,23.425,0,0,0,0,1
225.495,0.000263,23.367,0,0,0,0,1
225.547,0.000299,23.328,0,0,0,0,1
225.599,0.00031,23.271,0,0,0,0,1
225.651,0.000356,23.233,0,0,0,0,1
225.704,0.00029,23.176,0,0,0,0,1
225.756,0.000245,23.118,0,0,0,0,1
225.808,0.000285,23.079,0,0,0,0,1
225.86,0.000395,23.024,0,0,0,0,1
225.913,0.000415,22.986,0,0,0,0,1
225.965,0.000239,22.929,0,0,0,0,1
226.017,0.000312,22.87,0,0,0,0,1
226.07,0.00028,22.831,0,0,0,0,1
226.122,0.000302,22.773,0,0,0,0,1
226.174,0.000254,22.717,0,0,0,0,1
226.226,0.000279,22.678,0,0,0,0,1
226.279,0.000318,22.621,0,0,0,0,1
226.331,0.000265,22.584,0,0,0,0,1
226.384,0.000235,22.526,0,0,0,0,1
226.436,0.000224,22.469,0,0,0,0,1
226.489,0.000348,22.431,134.642,0,0,0,1
226.542,0.000398,22.374,134.642,0,0,0,1
226.593,0.00027,22.335,134.642,0,0,0,1
226.645,0.000241,22.276,134.642,0,0,0,1
226.696,0.000246,22.218,134.642,0,0,0,1
226.747,0.000307,22.179,134.642,0,0,0,1
226.798,0.000284,22.12,134.642,0,0,0,1
226.85,0.000395,22.082,134.642,0,0,0,1
226.901,0.000249,22.023,134.642,0,0,0,1
226.952,0.000377,21.984,134.642,0,0,0,1
227.004,0.000292,21.928,134.642,0,0,0,1
227.055,0.000332,21.869,134.642,0,0,0,1
227.107,0.000628,21.83,134.642,0,0,0,1
227.158,0.000286,21.772,134.642,0,0,0,1
227.209,0.000237,21.732,134.642,0,0,0,1
227.26,0.000303,21.674,134.642,0,0,0,1
227.311,0.000342,21.635,134.642,0,0,0,1
227.363,0.000222,21.577,134.642,0,0,0,1
227.414,0.000357,21.519,134.642,0,0,0,1
227.465,0.000249,21.48,134.642,0,0,0,1
227.516,0.000337,21.421,134.642,0,0,0,1
227.568,0.000322,21.382,134.642,0,0,0,1
227.619,0.000258,21.323,134.642,0,0,0,1
227.67,0.000315,21.284,134.642,0,0,0,1
227.722,0.000329,21.226,134.642,0,0,0,1
227.773,0.000284,21.186,134.642,0,0,0,1
227.824,0.000288,21.128,134.642,0,0,0,1
227.875,0.00023,21.07,134.642,0,0,0,1
227.927,0.000401,21.031,134.642,0,0,0,1
227.978,0.000303,20.972,134.642,0,0,0,1
228.029,0.00021,20.933,134.642,0,0,0,1
228.08,0.000287,20.875,134.642,0,0,0,1
228.132,0.002253,20.836,134.642,0,0,0,1
228.183,0.000288,20.781,134.642,0,0,0,1
228.235,0.000218,20.722,134.642,0,0,0,1
228.286,0.000377,20.683,134.642,0,0,0,1
228.337,0.000279,20.625,134.642,0,0,0,1
228.388,0.000546,20.586,134.642,0,0,0,1
228.44,0.000294,20.529,134.642,0,0,0,1
228.492,0.000371,20.491,134.642,0,0,0,1
228.543,0.000377,20.433,134.642,0,0,0,1
228.595,0.000295,20.374,134.642,0,0,0,1
228.646,0.00027,20.336,134.642,0,0,0,1
228.697,0.000332,20.277,134.642,0,0,0,1
228.749,0.000377,20.238,134.642,0,0,0,1
228.801,0.000252,20.18,134.642,0,0,0,1
228.852,0.000461,20.142,134.642,0,0,0,1
228.904,0.00033,20.086,134.642,0,0,0,1
228.955,0.000304,20.027,134.642,0,0,0,1
229.008,9507.26,19.989,0,0,92,4,1
238.567,0.000315,19.931,112.503,0,92,4,1
238.618,0.000362,19.874,112.503,0,92,4,1
238.669,0.000431,19.837,112.503,0,92,4,1
238.721,0.000255,19.779,112.503,0,92,4,1
238.773,0.000381,19.74,112.503,0,92,4,1
238.825,0.000413,19.681,112.503,0,92,4,1
238.877,0.000275,19.623,112.503,0,92,4,1
238.928,0.000273,19.584,112.503,0,92,4,1
238.98,0.000348,19.526,112.503,0,92,4,1
239.032,0.000367,19.487,112.503,0,92,4,1
239.084,0.000337,19.428,112.503,0,92,4,1
239.135,0.000512,19.371,112.503,0,92,4,1
239.187,0.00028,19.333,112.503,0,92,4,1
239.239,0.000323,19.275,112.503,0,92,4,1
239.29,0.000306,19.238,112.503,0,92,4,1
239.342,0.000273,19.18,112.503,0,92,4,1
239.393,0.000397,19.142,112.503,0,92,4,1
239.445,0.00056,19.083,112.503,0,92,4,1
239.497,0.000387,19.025,112.503,0,92,4,1
239.548,0.000285,18.986,112.503,0,92,4,1
239.6,0.000287,18.928,112.503,0,92,4,1
239.651,0.000358,18.889,112.503,0,92,4,1
239.703,0.000251,18.831,112.503,0,92,4,1
239.755,0.000322,18.774,112.503,0,92,4,1
239.807,0.000349,18.736,112.503,0,92,4,1
239.859,0.000317,18.677,112.503,0,92,4,1
239.91,0.000282,18.639,112.503,0,92,4,1
239.962,0.000397,18.581,112.503,0,92,4,1
240.014,0.000221,18.522,112.503,0,92,4,1
240.065,0.000323,18.483,112.503,0,92,4,1
240.117,0.000361,18.424,112.503,0,92,4,1
240.169,0.000492,18.385,112.503,0,92,4,1
240.22,0.000403,18.326,112.503,0,92,4,1
240.272,0.00031,18.288,112.503,0,92,4,1
240.324,0.000379,18.23,112.503,0,92,4,1
240.375,0.000187,18.173,112.503,0,92,4,1
240.427,0.000435,18.133,112.503,0,92,4,1
240.479,0.000224,18.075,112.503,0,92,4,1
240.53,0.000333,18.036,112.503,0,92,4,1
240.582,0.0003,17.979,112.503,0,92,4,1
240.633,0.000279,17.941,112.503,0,92,4,1
240.685,0.000361,17.883,112.503,0,92,4,1
240.737,0.00021,17.825,112.503,0,92,4,1
240.788,0.000312,17.786,112.503,0,92,4,1
240.84,0.000279,17.73,112.503,0,92,4,1
240.891,0.000291,17.691,112.503,0,92,4,1
240.943,0.000343,17.633,112.503,0,92,4,1
240.994,0.000224,17.575,112.503,0,92,4,1
241.045,0.000267,17.536,112.503,0,92,4,1
241.097,0.00026,17.478,112.503,0,92,4,1
241.148,0.000344,17.439,112.503,0,92,4,1
241.2,0.000255,17.383,112.503,0,92,4,1
241.251,0.000311,17.346,112.503,0,92,4,1
241.303,0.000333,17.289,112.503,0,92,4,1
241.354,0.000317,17.231,112.503,0,92,4,1
241.406,0.000443,17.192,112.503,0,92,4,1
241.457,0.000375,17.135,112.503,0,92,4,1
241.509,0.000287,17.096,112.503,0,92,4,1
241.561,0.000225,17.038,112.503,0,92,4,1
241.613,0.000193,16.999,112.503,0,92,4,1
241.664,0.00041,16.94,112.503,0,92,4,1
241.716,0.000403,16.882,112.503,0,92,4,1
241.768,0.000342,16.844,112.503,0,92,4,1
241.82,0.000292,16.786,112.503,0,92,4,1
241.872,0.000407,16.747,112.503,0,92,4,1
241.924,0.000482,16.691,112.503,0,92,4,1
241.976,0.00022,16.634,112.503,0,92,4,1
242.027,0.000395,16.595,112.503,0,92,4,1
242.079,0.000203,16.536,112.503,0,92,4,1
242.131,0.000359,16.497,112.503,0,92,4,1
242.183,0.000209,16.438,112.503,0,92,4,1
242.234,0.000251,16.382,112.503,0,92,4,1
242.285,0.000257,16.343,112.503,0,92,4,1
242.337,0.000312,16.284,112.503,0,92,4,1
242.388,0.000261,16.246,112.503,0,92,4,1
242.44,0.000244,16.188,112.503,0,92,4,1
242.492,0.000329,16.149,112.503,0,92,4,1
242.544,0.000231,16.091,112.503,0,92,4,1
242.595,0.00037,16.033,112.503,0,92,4,1
242.648,0.00036,15.994,112.503,0,92,4,1
242.699,0.000253,15.936,112.503,0,92,4,1
242.751,0.000385,15.898,112.503,0,92,4,1
242.803,0.00024,15.839,112.503,0,92,4,1
242.854,0.000477,15.78,112.503,0,92,4,1
242.906,0.000255,15.742,80.9667,0,92,4,1
242.958,0.00041,15.683,80.9667,0,92,4,1
243.01,0.000324,15.644,80.9667,0,92,4,1
243.062,0.000337,15.586,80.9667,0,92,4,1
243.114,0.000317,15.528,80.9667,0,92,4,1
243.166,0.000395,15.489,80.9667,0,92,4,1
243.219,0.000255,15.431,80.9667,0,92,4,1
243.27,0.000261,15.392,80.9667,0,92,4,1
